pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots,entry_spread_pips,exit_spread_pips,commission_usd
NZDCHF,3D,bullish,direct_touch,2010-01-11,2010-01-14,2010-01-14 00:00:00,2010-01-14 00:00:00,2010-01-21 18:00:00,7.75,0.76073,0.7536,0.75848,71.3,48.799999999999955,68.44319775596065,2,H1,0.7529,0.7429266666666667,0.76786,0.7429266666666667,1.5,99.73333333333278,149.59999999999974,sl,-102.46757811585572,-1.032428924958452,loss,112.79999999999956,109.50000000000014,1.0026737967914494,2.2918041380317518,0.4424406444915888,5.013368983957247
EURCAD,3D,bullish,direct_touch,2010-01-11,2010-01-14,2010-01-14 19:00:00,2010-01-15 01:00:00,2010-01-15 13:00:00,0.5,1.48353,1.47366,1.48254,98.7,88.79999999999998,89.96960486322187,4,H4,1.48295,1.472673,1.4934,1.472673,1.0168337063345312,102.7700000000009,104.5000000000007,sl,-105.84503988808835,-1.0347868043990212,loss,9.099999999999664,108.39999999999961,0.9730466089325592,2.217007293988579,0.8580325940998604,4.865233044662796
NZDCAD,3D,bullish,direct_touch,2010-01-11,2010-01-14,2010-01-14 19:00:00,2010-01-15 01:00:00,2010-01-20 09:00:00,5.333333333333333,0.76073,0.7536,0.75848,71.3,48.799999999999955,68.44319775596065,2,H1,0.75773,0.7509766666666667,0.76786,0.7509766666666667,1.5,67.53333333333278,101.29999999999971,sl,-71.50697491640989,-1.0662434587819913,loss,60.20000000000025,69.90000000000052,1.48075024679172,2.4430286349639734,1.5306129481133246,7.4037512339586
CHFJPY,3D,bullish,direct_touch,2010-01-06,2010-01-11,2010-01-15 07:00:00,2010-01-15 08:00:00,2010-01-19 13:00:00,4.208333333333333,88.7325,88.4315,88.433,30.099999999999998,0.15000000000071623,0.49833887043427316,2,wick_diff,88.433,87.83300000000001,89.0335,87.83300000000001,1.0008333333333372,59.99999999999943,60.04999999999967,sl,-62.51960921905493,-1.0420768203175919,loss,54.09999999999968,61.10000000000042,0.016666666666666823,1.1909602344297052,1.3286489846255893,0.08333333333333412
AUDUSD,3D,bullish,direct_touch,2010-01-14,2010-01-19,2010-01-19 03:00:00,2010-01-20 02:00:00,2010-01-20 16:00:00,0.5833333333333334,0.92414,0.91714,0.91749,70.0,3.5000000000007248,5.000000000001036,3,3D,0.91749,0.90839,0.93114,0.90839,1.5,90.99999999999997,136.4999999999994,sl,-93.73916674620175,-1.0355952389692504,loss,21.09999999999945,93.60000000000035,1.0989010989010992,1.4162487902906036,1.3229179559110438,5.494505494505496
EURNZD,3D,bearish,direct_touch,2010-01-14,2010-01-19,2010-01-20 09:00:00,2010-01-20 10:00:00,2010-01-21 16:00:00,1.25,1.95955,1.96864,1.96604,90.9,25.999999999999357,28.60286028602789,2,H4,1.96704,1.9780933333333333,1.9504599999999999,1.9780933333333333,1.5,110.53333333333359,165.80000000000038,sl,-112.60263597065556,-1.0232445956331901,loss,150.50000000000006,112.80000000000179,0.904704463208683,1.3471930249573325,0.7221096123657388,4.523522316043415
AUDCHF,3D,bullish,direct_touch,2010-01-14,2010-01-19,2010-01-21 19:00:00,2010-01-22 01:00:00,2010-01-28 03:00:00,6.083333333333333,0.94094,0.93442,0.93782,65.19999999999999,33.99999999999959,52.147239263803044,1,H1,0.93647,0.9291433333333334,0.94746,0.94746,1.5,73.26666666666593,109.89999999999944,tp,107.3305470407071,1.4581057375892839,win,115.69999999999969,23.199999999999886,1.3648771610555188,1.843325650415348,0.7261273088760202,6.824385805277594
CADCHF,3D,bullish,direct_touch,2010-01-14,2010-01-19,2010-01-22 12:00:00,2010-01-26 14:00:00,2010-01-29 17:00:00,3.125,0.98766,0.97784,0.98608,98.2,82.39999999999914,83.9103869653759,7,D,0.97931,0.9671966666666667,0.99748,0.99748,1.5,121.13333333333308,181.7000000000002,tp,177.71073401950832,1.4629394663140507,win,182.09999999999948,4.699999999999704,0.8255365987892146,1.6081573908970253,2.381108589595025,4.127682993946073
GBPAUD,3D,bearish,direct_touch,2010-01-22,2010-01-27,2010-01-27 07:00:00,2010-01-27 09:00:00,2010-01-31 19:00:00,4.416666666666667,1.79976,1.81349,1.80009,137.29999999999998,134.00000000000077,97.59650400582723,2,H1,1.80272,1.8148630000000001,1.78603,1.8148630000000001,1.3744544181833216,121.43000000000015,166.90000000000092,sl,-125.02853896783073,-1.0337522767671135,loss,86.00000000000162,149.29999999999887,0.823519723297372,1.8494003784730804,1.7491385893565428,4.11759861648686
EURGBP,3D,bullish,direct_touch,2010-01-22,2010-01-27,2010-01-27 07:00:00,2010-01-28 01:00:00,2010-02-01 09:00:00,4.333333333333333,0.86966,0.86508,0.86674,45.8,16.599999999999948,36.244541484716045,7,D,0.86549,0.85949,0.87424,0.87424,1.458333333333338,60.00000000000005,87.50000000000036,tp,85.15224153905709,1.410870692317617,win,88.30000000000004,51.700000000000074,1.6666666666666654,0.5196567213415428,1.8281017396010961,8.333333333333327
EURNZD,3D,bearish,direct_touch,2010-01-27,2010-02-01,2010-02-04 00:00:00,2010-02-04 08:00:00,2010-02-11 00:00:00,6.666666666666667,1.98696,2.0018,1.99708,148.4,47.199999999998354,31.805929919136354,1,H1,1.99628,2.0123866666666665,1.97212,1.97212,1.5,161.0666666666649,241.59999999999957,tp,239.27972937030304,1.482490041620275,win,246.900000000001,98.50000000000136,0.6208609271523247,0.49186394472170153,1.828406684973174,3.1043046357616233
EURCHF,3D,bullish,direct_touch,2010-02-01,2010-02-04,2010-02-04 01:00:00,2010-02-04 19:00:00,2010-02-05 01:00:00,0.25,1.47026,1.46358,1.47026,66.8,66.79999999999797,99.99999999999696,2,H4,1.46472,1.4565733333333335,1.47694,1.4565733333333335,1.5,81.46666666666523,122.19999999999897,sl,-83.69930952206062,-1.033543079239715,loss,8.999999999999009,87.8000000000001,1.2274959083469938,0.5127618756828762,1.7198809797124053,6.137479541734969
EURCAD,3D,bullish,direct_touch,2010-01-19,2010-01-22,2010-02-02 03:00:00,2010-02-05 00:00:00,2010-02-10 19:00:00,5.791666666666667,1.47591,1.46723,1.47211,86.8,48.799999999999955,56.22119815668197,2,H4,1.46856,1.4578733333333334,1.48459,1.4578733333333334,1.5,106.86666666666733,160.29999999999987,sl,-108.50463523273345,-1.0200059441615668,loss,85.69999999999966,124.60000000000137,0.9357454772301876,0.6398854539869487,0.9980831120786527,4.678727386150938
