pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
NZDCHF,W,bullish,direct_touch,2010-01-11,2010-01-14,2010-01-14,2010-01-14 00:00:00,2010-01-21 18:00:00,7.75,0.76073,0.7536,0.75848,71.3,48.799999999999955,68.44319775596065,2,H1,0.7529,0.7429266666666667,0.76786,0.7429266666666667,1.5,99.73333333333278,149.59999999999974,sl,-99.73333333333278,-1.0,loss,112.79999999999956,109.50000000000014,1.0026737967914494
NZDCAD,W,bullish,direct_touch,2010-01-11,2010-01-14,2010-01-14,2010-01-15 01:00:00,2010-01-20 09:00:00,5.333333333333333,0.76073,0.7536,0.75848,71.3,48.799999999999955,68.44319775596065,2,H1,0.75773,0.7509766666666667,0.76786,0.7509766666666667,1.5,67.53333333333278,101.29999999999971,sl,-67.53333333333278,-1.0,loss,60.20000000000025,69.90000000000052,1.48075024679172
AUDUSD,W,bullish,direct_touch,2010-01-14,2010-01-19,2010-01-19,2010-01-20 02:00:00,2010-01-20 16:00:00,0.5833333333333334,0.92414,0.91714,0.91749,70.0,3.5000000000007248,5.000000000001036,3,3D,0.91749,0.90839,0.93114,0.90839,1.5,90.99999999999997,136.4999999999994,sl,-90.99999999999997,-1.0,loss,21.09999999999945,93.60000000000035,1.0989010989010992
CADCHF,W,bullish,direct_touch,2010-01-14,2010-01-19,2010-01-22,2010-01-26 14:00:00,2010-01-29 17:00:00,3.125,0.98766,0.97784,0.98608,98.2,82.39999999999914,83.9103869653759,7,D,0.97931,0.9671966666666667,0.99748,0.99748,1.5,121.13333333333308,181.7000000000002,tp,181.7000000000002,1.5000000000000047,win,182.09999999999948,4.699999999999704,0.8255365987892146
EURGBP,W,bullish,direct_touch,2010-01-22,2010-01-27,2010-01-27,2010-01-28 01:00:00,2010-02-01 09:00:00,4.333333333333333,0.86966,0.86508,0.86674,45.8,16.599999999999948,36.244541484716045,7,D,0.86549,0.85949,0.87424,0.87424,1.458333333333338,60.00000000000005,87.50000000000036,tp,87.50000000000036,1.4583333333333381,win,88.30000000000004,51.700000000000074,1.6666666666666654
EURNZD,W,bearish,direct_touch,2010-01-27,2010-02-01,2010-02-04,2010-02-04 08:00:00,2010-02-11 00:00:00,6.666666666666667,1.98696,2.0018,1.99708,148.4,47.199999999998354,31.805929919136354,1,H1,1.99628,2.0123866666666665,1.97212,1.97212,1.5,161.0666666666649,241.59999999999957,tp,241.59999999999957,1.5000000000000138,win,246.900000000001,98.50000000000136,0.6208609271523247
EURCHF,W,bullish,direct_touch,2010-02-01,2010-02-04,2010-02-04,2010-02-04 19:00:00,2010-02-05 01:00:00,0.25,1.47026,1.46358,1.47026,66.8,66.79999999999797,99.99999999999696,2,H4,1.46472,1.4565733333333335,1.47694,1.4565733333333335,1.5,81.46666666666523,122.19999999999897,sl,-81.46666666666523,-1.0,loss,8.999999999999009,87.8000000000001,1.2274959083469938
EURCAD,W,bullish,direct_touch,2010-01-19,2010-01-22,2010-02-02,2010-02-05 00:00:00,2010-02-10 19:00:00,5.791666666666667,1.47591,1.46723,1.47211,86.8,48.799999999999955,56.22119815668197,2,H4,1.46856,1.4578733333333334,1.48459,1.4578733333333334,1.5,106.86666666666733,160.29999999999987,sl,-106.86666666666733,-1.0,loss,85.69999999999966,124.60000000000137,0.9357454772301876
EURGBP,W,bearish,direct_touch,2010-01-27,2010-02-01,2010-02-01,2010-02-08 07:00:00,2010-02-25 18:00:00,17.458333333333332,0.87166,0.87946,0.8732,78.0,62.600000000000435,80.25641025641082,8,D,0.8786,0.8884266666666668,0.86386,0.8884266666666668,1.5,98.2666666666676,147.40000000000086,sl,-98.2666666666676,-1.0,loss,127.80000000000013,102.7,1.0176390773405601
GBPAUD,W,bullish,direct_touch,2010-02-04,2010-02-09,2010-02-09,2010-02-09 09:00:00,2010-02-11 00:00:00,1.625,1.8001,1.78831,1.79148,117.9,31.69999999999895,26.887192536046605,4,D,1.78907,1.7738566666666666,1.81189,1.7738566666666666,1.5,152.133333333333,228.2000000000006,sl,-152.133333333333,-1.0,loss,93.10000000000151,252.2000000000002,0.65731814198072
EURNZD,W,bullish,direct_touch,2010-02-04,2010-02-09,2010-02-10,2010-02-11 14:00:00,2010-02-17 16:00:00,6.083333333333333,1.97747,1.95674,1.97705,207.29999999999998,203.1000000000005,97.97395079594816,5,D,1.95948,1.9336666666666669,1.9982,1.9336666666666669,1.5,258.1333333333324,387.1999999999986,sl,-258.1333333333324,-1.0,loss,73.49999999999967,274.8000000000017,0.3873966942148774
AUDUSD,W,bearish,direct_touch,2010-02-04,2010-02-09,2010-02-11,2010-02-11 19:00:00,2010-02-23 07:00:00,11.5,0.88294,0.89272,0.88294,97.80000000000001,97.80000000000011,100.00000000000011,5,D,0.8919,0.9043933333333334,0.8731599999999999,0.9043933333333334,1.5,124.93333333333355,187.4000000000009,sl,-124.93333333333355,-1.0,loss,134.19999999999987,148.89999999999958,0.8004268943436486
AUDNZD,W,bearish,direct_touch,2010-01-27,2010-02-01,2010-02-11,2010-02-11 21:00:00,2010-02-19 13:00:00,7.666666666666667,1.26859,1.27646,1.27352,78.7,29.399999999999427,37.35705209656852,2,H4,1.27639,1.2868366666666664,1.26072,1.2868366666666664,1.5,104.46666666666492,156.6999999999985,sl,-104.46666666666492,-1.0,loss,79.499999999999,107.70000000000168,0.9572431397575144
EURCHF,W,bullish,direct_touch,2010-02-09,2010-02-12,2010-02-12,2010-02-12 08:00:00,2010-03-15 09:00:00,31.041666666666668,1.46504,1.45594,1.46455,91.0,86.10000000000007,94.61538461538468,2,D,1.46455,1.45503,1.47414,1.45503,1.0073529411764721,95.19999999999972,95.89999999999986,sl,-95.19999999999972,-1.0,loss,57.300000000000125,106.90000000000087,1.0504201680672298
EURUSD,W,bullish,direct_touch,2010-02-09,2010-02-12,2010-02-12,2010-02-12 09:00:00,2010-02-16 15:00:00,4.25,1.36489,1.35858,1.35952,63.099999999999994,9.40000000000163,14.896988906500205,4,3D,1.35952,1.3517333333333335,1.3712,1.3712,1.5,77.86666666666608,116.79999999999912,tp,116.79999999999912,1.5,win,121.19999999999908,63.40000000000012,1.2842465753424754
NZDCAD,W,bullish,direct_touch,2010-02-12,2010-02-17,2010-02-18,2010-02-18 21:00:00,2010-02-19 16:00:00,0.7916666666666666,0.73359,0.7288,0.73289,47.9,40.90000000000038,85.38622129436405,6,H4,0.73081,0.72481,0.7383799999999999,0.72481,1.2616666666666598,60.00000000000005,75.69999999999965,sl,-60.00000000000005,-1.0,loss,46.59999999999997,62.099999999999376,1.6666666666666654
EURGBP,W,bearish,direct_touch,2010-02-09,2010-02-12,2010-02-19,2010-02-23 09:00:00,2010-02-26 10:00:00,3.0416666666666665,0.87577,0.88416,0.8799,83.9,42.599999999999305,50.77473182359869,2,H4,0.88274,0.8929799999999999,0.86738,0.8929799999999999,1.5,102.39999999999915,153.59999999999928,sl,-102.39999999999915,-1.0,loss,76.29999999999914,107.40000000000083,0.976562500000008
EURGBP,W,bearish,direct_touch,2010-01-11,2010-01-14,2010-03-01,2010-03-01 10:00:00,2010-03-01 11:00:00,0.041666666666666664,0.89788,0.90284,0.90264,49.6,1.9999999999997797,4.032258064515685,2,wick_diff,0.90264,0.9091199999999999,0.89292,0.9091199999999999,1.5,64.7999999999993,97.1999999999995,sl,-64.7999999999993,-1.0,loss,18.200000000000436,123.60000000000036,1.5432098765432265
AUDCHF,W,bearish,direct_touch,2010-02-22,2010-02-25,2010-03-01,2010-03-01 15:00:00,2010-03-09 15:00:00,8.0,0.96832,0.97484,0.97311,65.2,17.300000000000093,26.533742331288483,2,H4,0.97402,0.9821666666666666,0.9618,0.9821666666666666,1.5,81.46666666666636,122.20000000000007,sl,-81.46666666666636,-1.0,loss,117.19999999999952,92.60000000000045,1.227495908346977
AUDNZD,W,bearish,direct_touch,2010-02-25,2010-03-02,2010-03-02,2010-03-02 03:00:00,2010-03-02 15:00:00,0.5,1.28856,1.29314,1.2916,45.8,15.399999999998748,33.624454148468885,2,H4,1.29274,1.29874,1.28398,1.29874,1.4600000000000155,60.00000000000005,87.600000000001,sl,-60.00000000000005,-1.0,loss,76.19999999999959,69.39999999999947,1.6666666666666654
EURUSD,W,bullish,direct_touch,2010-02-25,2010-03-02,2010-03-02,2010-03-02 09:00:00,2010-03-03 00:00:00,0.625,1.35398,1.34522,1.34972,87.60000000000001,44.99999999999949,51.36986301369804,1,H1,1.34736,1.3371066666666664,1.36274,1.36274,1.5,102.53333333333447,153.80000000000172,tp,153.80000000000172,1.5000000000000002,win,180.00000000000014,38.999999999997925,0.9752925877763221
AUDUSD,W,bearish,direct_touch,2010-03-02,2010-03-05,2010-03-05,2010-03-05 10:00:00,2010-03-07 23:00:00,2.5416666666666665,0.90096,0.90854,0.90158,75.8,69.59999999999967,91.82058047493359,6,H4,0.9036,0.9104133333333333,0.89338,0.9104133333333333,1.5,68.13333333333338,102.20000000000006,sl,-68.13333333333338,-1.0,loss,13.999999999999568,68.79999999999997,1.4677103718199598
AUDCHF,W,bearish,direct_touch,2010-03-02,2010-03-05,2010-03-05,2010-03-05 13:00:00,2010-03-09 15:00:00,4.083333333333333,0.97243,0.97771,0.97595,52.8,17.599999999999838,33.33333333333302,1,H1,0.97597,0.98197,0.9671500000000001,0.98197,1.4699999999999884,60.00000000000005,88.19999999999939,sl,-60.00000000000005,-1.0,loss,35.69999999999962,73.10000000000038,1.6666666666666654
GBPAUD,W,bullish,direct_touch,2010-03-02,2010-03-05,2010-03-05,2010-03-08 15:00:00,2010-03-10 01:00:00,1.4166666666666667,1.66376,1.64978,1.65442,139.79999999999998,46.39999999999978,33.1902718168811,2,H1,1.65292,1.6363733333333332,1.67774,1.6363733333333332,1.5,165.4666666666671,248.20000000000064,sl,-165.4666666666671,-1.0,loss,72.20000000000005,170.79999999999984,0.6043513295729235
EURGBP,W,bearish,direct_touch,2010-03-02,2010-03-05,2010-03-05,2010-03-10 07:00:00,2010-03-18 07:00:00,8.0,0.90462,0.915,0.91024,103.8,47.599999999999866,45.85741811175324,1,D,0.90998,0.9204733333333334,0.8942399999999999,0.8942399999999999,1.5,104.93333333333354,157.40000000000086,tp,157.40000000000086,1.5000000000000053,win,170.00000000000014,34.19999999999978,0.9529860228716627
EURGBP,W,bearish,direct_touch,2010-03-10,2010-03-15,2010-03-15,2010-03-15 10:00:00,2010-03-17 09:00:00,1.9583333333333333,0.90694,0.9134,0.90974,64.6,36.599999999999966,56.65634674922596,7,D,0.91218,0.91998,0.90048,0.90048,1.5,78.00000000000028,117.00000000000043,tp,117.00000000000043,1.5,win,142.9999999999998,8.20000000000043,1.2820512820512773
AUDNZD,W,bullish,direct_touch,2010-03-10,2010-03-15,2010-03-15,2010-03-16 14:00:00,2010-03-26 08:00:00,9.75,1.30034,1.29278,1.29688,75.6,40.99999999999993,54.232804232804135,1,H4,1.29312,1.2832666666666668,1.3079,1.2832666666666668,1.5,98.53333333333269,147.80000000000015,sl,-98.53333333333269,-1.0,loss,117.39999999999861,103.80000000000055,1.014884979702307
EURNZD,W,bullish,direct_touch,2010-03-10,2010-03-15,2010-03-17,2010-03-17 13:00:00,2010-03-24 08:00:00,6.791666666666667,1.9353,1.92029,1.93328,150.1,129.90000000000057,86.54230512991377,3,H4,1.92102,1.9014933333333333,1.95031,1.9014933333333333,1.5,195.2666666666669,292.9000000000004,sl,-195.2666666666669,-1.0,loss,76.19999999999959,211.09999999999962,0.5121201775349943
NZDCAD,W,bearish,direct_touch,2010-03-10,2010-03-15,2010-03-17,2010-03-19 03:00:00,2010-04-01 02:00:00,12.958333333333334,0.72113,0.72788,0.7218,67.5,60.79999999999974,90.07407407407369,1,H1,0.72658,0.7347133333333333,0.71438,0.71438,1.5,81.33333333333326,121.99999999999989,tp,121.99999999999989,1.5,win,124.40000000000006,16.800000000000146,1.2295081967213126
EURGBP,W,bullish,direct_touch,2010-03-18,2010-03-23,2010-03-24,2010-03-24 10:00:00,2010-03-26 08:00:00,1.9166666666666667,0.8964,0.8916,0.8954,47.99999999999999,38.000000000000256,79.16666666666721,7,D,0.89194,0.8857666666666666,0.9012,0.9012,1.5,61.73333333333364,92.60000000000045,tp,92.60000000000045,1.4999999999999998,win,106.20000000000073,38.999999999999034,1.6198704103671626
EURGBP,W,bearish,direct_touch,2010-03-23,2010-03-26,2010-03-26,2010-03-26 07:00:00,2010-03-30 13:00:00,4.25,0.89788,0.90454,0.90201,66.6,25.300000000000324,37.98798798798847,3,H4,0.90072,0.9070533333333333,0.89122,0.89122,1.5,63.333333333333016,94.99999999999953,tp,94.99999999999953,1.5000000000000002,win,103.99999999999964,23.199999999999886,1.5789473684210606
AUDCHF,W,bullish,direct_touch,2010-03-23,2010-03-26,2010-03-26,2010-03-26 09:00:00,2010-03-26 14:00:00,0.20833333333333334,0.97166,0.96528,0.96819,63.800000000000004,29.09999999999968,45.61128526645718,5,H4,0.96866,0.9624066666666666,0.97804,0.9624066666666666,1.5,62.533333333333324,93.80000000000055,sl,-62.533333333333324,-1.0,loss,13.800000000000479,66.99999999999928,1.5991471215351816
NZDCAD,W,bullish,direct_touch,2010-03-23,2010-03-26,2010-03-31,2010-04-01 02:00:00,2010-04-05 06:00:00,4.166666666666667,0.7198,0.71496,0.71516,48.4,1.9999999999997797,4.1322314049582225,1,wick_diff,0.71516,0.70884,0.72464,0.70884,1.5,63.19999999999992,94.79999999999933,sl,-63.19999999999992,-1.0,loss,22.49999999999974,64.1999999999998,1.5822784810126602
AUDCAD,W,bullish,direct_touch,2010-03-18,2010-03-23,2010-03-23,2010-04-01 18:00:00,2010-04-11 20:00:00,10.083333333333334,0.93323,0.92563,0.92751,76.0,18.799999999999926,24.73684210526306,3,D,0.92617,0.9163966666666667,0.94083,0.94083,1.5,97.73333333333301,146.60000000000005,tp,146.60000000000005,1.5000000000000056,win,149.49999999999906,53.600000000000314,1.0231923601637143
AUDCAD,W,bearish,direct_touch,2010-04-08,2010-04-13,2010-04-14,2010-04-15 18:00:00,2010-04-20 12:00:00,4.75,0.93257,0.94164,0.93294,90.7,87.00000000000041,95.9206174200666,5,H4,0.9353,0.9431666666666667,0.9235,0.9431666666666667,1.5,78.66666666666688,118.00000000000033,sl,-78.66666666666688,-1.0,loss,45.19999999999968,93.49999999999969,1.2711864406779625
EURCAD,W,bearish,direct_touch,2010-04-13,2010-04-16,2010-04-16,2010-04-16 14:00:00,2010-04-20 13:00:00,3.9583333333333335,1.36256,1.37583,1.36814,132.70000000000002,76.90000000000197,57.950263752827404,3,H4,1.36789,1.38029,1.34929,1.34929,1.5,123.99999999999966,185.9999999999995,tp,185.9999999999995,1.5,win,237.5000000000016,55.79999999999918,0.8064516129032281
NZDCAD,W,bearish,direct_touch,2010-04-13,2010-04-16,2010-04-16,2010-04-16 15:00:00,2010-04-30 09:00:00,13.75,0.71401,0.72219,0.7174,81.8,47.89999999999961,58.55745721271346,6,D,0.7208,0.73078,0.7058300000000001,0.73078,1.5,99.79999999999988,149.69999999999928,sl,-99.79999999999988,-1.0,loss,139.20000000000041,120.2000000000003,1.002004008016033
AUDNZD,W,bullish,direct_touch,2010-04-13,2010-04-16,2010-04-19,2010-04-19 07:00:00,2010-04-20 07:00:00,1.0,1.30198,1.29448,1.29839,75.0,39.09999999999858,52.13333333333144,2,H4,1.29452,1.2845466666666665,1.30948,1.30948,1.5,99.73333333333389,149.60000000000085,tp,149.60000000000085,1.5000000000000002,win,150.20000000000033,2.4999999999986144,1.0026737967914383
