pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
CADJPY,3D,bullish,direct_touch,2005-01-06,2005-01-11,2005-01-11 17:00:00,2005-01-12 08:00:00,2005-01-12 14:00:00,0.25,84.975,84.61,84.73,36.5,12.000000000000455,32.87671232876837,1,H1,84.63,84.03,85.33999999999999,85.33999999999999,1.183333333333334,59.99999999999943,70.99999999999937,tp,70.99999999999937,1.183333333333334,win,96.0000000000008,8.99999999999892,0.016666666666666823
GBPUSD,3D,bullish,direct_touch,2005-01-11,2005-01-14,2005-01-14 02:00:00,2005-01-14 06:00:00,2005-01-17 14:00:00,3.3333333333333335,1.8754,1.8647,1.8698,106.99999999999999,50.99999999999882,47.66355140186806,6,H4,1.8705,1.8601,1.8860999999999999,1.8601,1.5,103.99999999999964,155.99999999999835,sl,-103.99999999999964,-1.0,loss,44.99999999999948,108.00000000000142,0.9615384615384649
USDCHF,3D,bearish,direct_touch,2005-01-11,2005-01-14,2005-01-14 04:00:00,2005-01-14 06:00:00,2005-01-18 02:00:00,3.8333333333333335,1.18265,1.18885,1.18425,61.99999999999999,45.999999999999375,74.19354838709576,5,D,1.18355,1.18955,1.17645,1.18955,1.18333333333335,60.00000000000005,71.00000000000107,sl,-60.00000000000005,-1.0,loss,60.99999999999994,61.99999999999983,1.6666666666666654
AUDCHF,3D,bearish,direct_touch,2005-01-14,2005-01-19,2005-01-19 00:00:00,2005-01-19 07:00:00,2005-01-20 15:00:00,1.3333333333333333,0.89674,0.90363,0.89997,68.9,36.599999999999966,53.120464441219106,4,D,0.89997,0.9067166666666667,0.88985,0.9067166666666667,1.5,67.46666666666678,101.20000000000017,sl,-67.46666666666678,-1.0,loss,29.10000000000079,69.6999999999992,1.4822134387351753
GBPNZD,3D,bullish,direct_touch,2005-01-14,2005-01-19,2005-01-19 00:00:00,2005-01-19 07:00:00,2005-01-20 09:00:00,1.0833333333333333,2.67135,2.66085,2.66175,105.0,9.00000000000123,8.571428571429742,1,H4,2.66185,2.6485166666666666,2.68185,2.6485166666666666,1.5,133.33333333333198,200.00000000000017,sl,-133.33333333333198,-1.0,loss,138.00000000000256,134.99999999999622,0.7500000000000077
GBPAUD,3D,bullish,direct_touch,2005-01-14,2005-01-19,2005-01-19 07:00:00,2005-01-19 08:00:00,2005-01-19 17:00:00,0.375,2.45915,2.44845,2.45085,106.99999999999999,24.000000000001798,22.429906542057758,2,H4,2.45015,2.437016666666666,2.46985,2.46985,1.5,131.33333333333664,197.00000000000273,tp,197.00000000000273,1.499999999999983,win,197.00000000000273,2.999999999997449,0.7614213197969352
AUDUSD,3D,bearish,direct_touch,2005-01-14,2005-01-19,2005-01-21 09:00:00,2005-01-21 16:00:00,2005-01-26 17:00:00,5.041666666666667,0.7655,0.7698,0.7658,43.0,40.000000000000036,93.02325581395358,2,H1,0.7693,0.7753,0.7612,0.7753,1.349999999999998,60.00000000000005,80.99999999999996,sl,-60.00000000000005,-1.0,loss,63.99999999999961,69.00000000000017,1.6666666666666654
USDCAD,3D,bearish,direct_touch,2005-01-06,2005-01-11,2005-01-18 02:00:00,2005-01-25 14:00:00,2005-02-07 09:00:00,12.791666666666666,1.2256,1.2396,1.2328,140.0,68.00000000000139,48.571428571429564,8,D,1.2382,1.2559333333333333,1.2116,1.2559333333333333,1.5,177.33333333333377,265.99999999999955,sl,-177.33333333333377,-1.0,loss,103.99999999999964,181.99999999999994,0.5639097744360888
CADJPY,3D,bullish,direct_touch,2005-01-19,2005-01-24,2005-01-26 07:00:00,2005-01-26 18:00:00,2005-02-01 17:00:00,5.958333333333333,83.63,83.25,83.52,38.0,26.999999999999602,71.05263157894632,2,H4,83.29,82.69000000000001,84.00999999999999,84.00999999999999,1.1999999999999857,59.99999999999943,71.99999999999847,tp,71.99999999999847,1.1999999999999857,win,75.99999999999909,57.00000000000074,0.016666666666666823
NZDJPY,3D,bearish,direct_touch,2005-01-27,2005-02-01,2005-02-01 07:00:00,2005-02-02 08:00:00,2005-02-10 07:00:00,7.958333333333333,73.81,74.295,74.165,48.5,12.999999999999545,26.804123711339265,1,H1,74.115,74.71499999999999,73.325,74.71499999999999,1.316666666666666,59.99999999999943,78.9999999999992,sl,-59.99999999999943,-1.0,loss,77.49999999999915,60.99999999999994,0.016666666666666823
NZDCHF,3D,bearish,direct_touch,2005-01-27,2005-02-01,2005-02-01 08:00:00,2005-02-02 22:00:00,2005-02-04 17:00:00,1.7916666666666667,0.84778,0.85338,0.84962,56.0,37.59999999999985,67.14285714285688,2,H4,0.85236,0.8591466666666667,0.8421799999999999,0.8591466666666667,1.5,67.86666666666719,101.80000000000078,sl,-67.86666666666719,-1.0,loss,19.400000000000528,90.79999999999977,1.473477406679753
EURNZD,3D,bullish,direct_touch,2005-01-27,2005-02-01,2005-02-02 19:00:00,2005-02-04 10:00:00,2005-02-05 17:00:00,1.2916666666666667,1.8255,1.8147,1.8189,108.0,41.999999999999815,38.888888888888715,2,D,1.8199,1.8089666666666668,1.8362999999999998,1.8089666666666668,1.5,109.33333333333239,163.99999999999747,sl,-109.33333333333239,-1.0,loss,89.99999999999896,251.00000000000122,0.9146341463414712
NZDCAD,3D,bearish,direct_touch,2005-01-27,2005-02-01,2005-02-01 08:00:00,2005-02-04 14:00:00,2005-02-08 10:00:00,3.8333333333333335,0.88238,0.88846,0.88766,60.8,8.00000000000023,13.157894736842483,0,wick_diff,0.88766,0.8952333333333333,0.8763000000000001,0.8763000000000001,1.5,75.7333333333332,113.59999999999926,tp,113.59999999999926,1.4999999999999927,win,128.09999999999988,30.09999999999957,1.3204225352112697
AUDCAD,3D,bearish,direct_touch,2005-02-01,2005-02-04,2005-02-04 14:00:00,2005-02-04 15:00:00,2005-02-07 15:00:00,3.0,0.96177,0.96567,0.96492,38.99999999999999,7.500000000000284,19.23076923076996,2,D,0.96418,0.97018,0.95787,0.97018,1.051666666666672,60.00000000000005,63.10000000000038,sl,-60.00000000000005,-1.0,loss,62.80000000000063,64.5999999999991,1.6666666666666654
EURAUD,3D,bullish,direct_touch,2005-02-01,2005-02-04,2005-02-04 11:00:00,2005-02-04 16:00:00,2005-02-07 01:00:00,2.375,1.68095,1.67335,1.67395,76.0,6.00000000000156,7.894736842107315,3,D,1.67355,1.66355,1.68855,1.66355,1.5,100.00000000000009,149.999999999999,sl,-100.00000000000009,-1.0,loss,36.49999999999931,101.50000000000102,0.9999999999999991
GBPAUD,3D,bullish,direct_touch,2005-02-01,2005-02-04,2005-02-07 01:00:00,2005-02-07 07:00:00,2005-02-07 15:00:00,0.3333333333333333,2.42735,2.42125,2.42155,61.0,2.999999999997449,4.918032786881064,0,wick_diff,2.42155,2.4136166666666665,2.43345,2.4136166666666665,1.5,79.33333333333347,119.00000000000243,sl,-79.33333333333347,-1.0,loss,59.00000000000016,102.99999999999976,1.26050420168067
NZDJPY,3D,bullish,direct_touch,2005-02-01,2005-02-04,2005-02-07 00:00:00,2005-02-07 21:00:00,2005-02-08 14:00:00,0.7083333333333334,73.69,73.335,73.545,35.5,21.000000000000796,59.15492957746703,3,H1,73.375,72.775,74.045,74.045,1.11666666666668,59.99999999999943,67.00000000000017,tp,67.00000000000017,1.11666666666668,win,70.99999999999937,3.499999999999659,0.016666666666666823
CHFJPY,3D,bearish,direct_touch,2005-02-01,2005-02-04,2005-02-10 12:00:00,2005-02-10 17:00:00,2005-02-16 05:00:00,5.5,87.225,87.645,87.37,42.0,27.499999999999147,65.47619047618845,1,H1,87.595,88.195,86.80499999999999,88.195,1.3166666666666895,59.99999999999943,79.00000000000063,sl,-59.99999999999943,-1.0,loss,62.999999999999545,71.50000000000034,0.016666666666666823
GBPNZD,3D,bullish,direct_touch,2005-01-27,2005-02-01,2005-02-10 08:00:00,2005-02-11 13:00:00,2005-02-14 16:00:00,3.125,2.62885,2.61455,2.62375,143.0,91.99999999999875,64.33566433566345,3,D,2.61705,2.59965,2.64315,2.64315,1.5,173.99999999999858,261.0000000000001,tp,261.0000000000001,1.5000000000000129,win,283.9999999999998,70.99999999999883,0.5747126436781655
AUDJPY,3D,bearish,direct_touch,2005-02-14,2005-02-17,2005-02-17 07:00:00,2005-02-17 14:00:00,2005-02-22 11:00:00,4.875,82.855,83.2,82.965,34.5,23.499999999999943,68.11594202898534,2,H1,83.18,83.78,82.51,82.51,1.11666666666668,59.99999999999943,67.00000000000017,tp,67.00000000000017,1.11666666666668,win,72.00000000000131,40.49999999999869,0.016666666666666823
