pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots,entry_spread_pips,exit_spread_pips,commission_usd
EURGBP,M,bullish,direct_touch,2010-02-01,2010-03-01,2010-04-21 11:00:00,2010-05-04 16:00:00,2010-05-05 21:00:00,1.2083333333333333,0.86928,0.86032,0.86582,89.6,55.000000000000604,61.383928571429244,3,H4,0.86034,0.8484066666666666,0.87824,0.8484066666666666,1.5,119.33333333333351,179.00000000000026,sl,-123.3883213356146,-1.0381702905219086,loss,12.999999999999678,128.50000000000028,0.8379888268156412,1.8438504230905337,2.211137579190588,4.189944134078206
EURJPY,M,bullish,direct_touch,2010-03-01,2010-04-01,2010-05-05 13:00:00,2010-05-05 18:00:00,2010-05-06 15:00:00,0.875,121.066,119.6575,119.773,140.85,11.549999999999727,8.200212992545067,3,H4,120.012,118.37033333333333,122.4745,118.37033333333333,1.5,164.16666666666657,246.25000000000057,sl,-166.51045818880164,-1.0143073595256957,loss,90.2000000000001,342.3000000000002,0.006091370558375638,1.4288494764971786,0.9149420456387539,0.030456852791878188
EURCHF,M,bullish,direct_touch,2010-04-01,2010-05-03,2010-05-06 09:00:00,2010-05-06 11:00:00,2010-05-06 18:00:00,0.2916666666666667,1.42388,1.41446,1.42088,94.19999999999999,64.1999999999987,68.15286624203685,1,H4,1.4153,1.4033,1.4333,1.4033,1.5,120.0000000000001,180.00000000000014,sl,-123.02585140360422,-1.0293820950300343,loss,65.8000000000003,147.99999999999923,0.8333333333333327,1.5272546726057619,1.4985967309975483,4.166666666666663
USDJPY,M,bullish,direct_touch,2010-03-01,2010-04-01,2010-05-06 18:00:00,2010-05-06 18:00:00,2010-05-06 19:00:00,0.041666666666666664,88.8605,88.1395,88.5545,72.1,41.500000000000625,57.55894590846135,2,H1,88.348,87.52566666666667,89.5815,89.5815,1.5,82.23333333333329,123.35000000000065,tp,121.89186853299248,1.482207562217177,win,348.19999999999993,33.799999999999386,0.012160518848804222,0.46978804309444944,0.9883434239141504,0.06080259424402111
GBPJPY,M,bullish,direct_touch,2010-03-01,2010-04-01,2010-05-06 18:00:00,2010-05-06 18:00:00,2010-05-06 19:00:00,0.041666666666666664,134.678,132.0315,134.665,264.65,263.3499999999998,99.50878518798405,10,D,133.93,131.667,137.3245,131.667,1.5,226.30000000000052,339.44999999999936,sl,-229.36237258325036,-1.0135544524226683,loss,291.2000000000006,414.700000000002,0.004418912947414926,0.8030052258708582,2.2593673573784065,0.022094564737074628
AUDJPY,M,bullish,direct_touch,2010-02-01,2010-03-01,2010-05-06 18:00:00,2010-05-06 18:00:00,2010-05-07 02:00:00,0.3333333333333333,79.112,76.201,79.671,291.1,347.0000000000013,119.20302301614609,14,D,77.1205,73.85216666666668,82.023,82.023,1.5,326.8333333333331,490.2499999999989,tp,487.8557758430418,1.492659181569736,win,537.1499999999997,23.550000000000182,0.0030596634370219297,1.1975797314205958,1.1966444255360031,0.015298317185109649
CHFJPY,M,bullish,direct_touch,2010-03-01,2010-04-01,2010-05-06 17:00:00,2010-05-06 18:00:00,2010-05-06 19:00:00,0.041666666666666664,82.743,81.779,81.8795,96.39999999999999,10.04999999999967,10.42531120331916,3,3D,81.8795,80.66116666666666,83.707,80.66116666666666,1.5,121.83333333333337,182.75000000000006,sl,-125.56399982047992,-1.0306621052296572,loss,80.45000000000044,296.54999999999916,0.008207934336525306,1.8887857291822054,1.8418807579650902,0.04103967168262653
CADJPY,M,bullish,direct_touch,2010-02-01,2010-03-01,2010-05-06 18:00:00,2010-05-06 18:00:00,2010-05-06 19:00:00,0.041666666666666664,83.968,82.3775,83.6655,159.05,128.79999999999967,80.98082364036445,7,D,82.942,81.19766666666665,85.55850000000001,85.55850000000001,1.5,174.43333333333442,261.6500000000016,tp,259.1837859352637,1.4858329023615255,win,474.60000000000093,80.19999999999925,0.005732849226065319,1.0357546084085036,1.430459456329575,0.028664246130326594
NZDCAD,M,bullish,direct_touch,2010-04-01,2010-05-03,2010-05-17 15:00:00,2010-05-19 13:00:00,2010-07-14 15:00:00,56.083333333333336,0.72156,0.69795,0.70656,236.09999999999997,86.10000000000007,36.46759847522239,3,H4,0.70356,0.67582,0.74517,0.74517,1.5,277.39999999999986,416.10000000000036,tp,411.93440955421545,1.4831810005559323,win,435.6000000000004,89.89999999999942,0.36049026676279755,1.942822159411719,2.222768286372752,1.8024513338139878
EURAUD,M,bullish,direct_touch,2010-05-03,2010-06-01,2010-06-03 07:00:00,2010-06-20 18:00:00,2010-07-06 00:00:00,15.25,1.44655,1.39287,1.42214,536.8,292.6999999999991,54.526825633382835,9,D,1.41055,1.3507633333333333,1.50023,1.50023,1.5,597.8666666666666,896.7999999999997,tp,894.6535522898923,1.4955735152038792,win,904.1000000000009,141.49999999999883,0.16726137377341663,1.5802549117814997,0.5661927983250873,0.8363068688670832
