pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
EURGBP,M,bullish,direct_touch,2010-02-01,2010-03-01,2010-04-21 11:00:00,2010-04-22 06:00:00,2010-05-04 17:00:00,12.458333333333334,0.86928,0.86032,0.86582,89.6,55.000000000000604,61.383928571429244,4,W,0.86644,0.8585733333333333,0.87824,0.8585733333333333,1.5,78.66666666666688,118.00000000000033,sl,-78.66666666666688,-1.0,loss,69.40000000000057,91.40000000000036,1.2711864406779625
EURJPY,M,bullish,direct_touch,2010-03-01,2010-04-01,2010-05-05 13:00:00,2010-05-05 18:00:00,2010-05-06 15:00:00,0.875,121.066,119.6575,119.773,140.85,11.549999999999727,8.200212992545067,3,H4,120.012,118.37033333333333,122.4745,118.37033333333333,1.5,164.16666666666657,246.25000000000057,sl,-164.16666666666657,-1.0,loss,90.2000000000001,342.3000000000002,0.006091370558375638
EURCHF,M,bullish,direct_touch,2010-04-01,2010-05-03,2010-05-06 09:00:00,2010-05-06 11:00:00,2010-05-06 18:00:00,0.2916666666666667,1.42388,1.41446,1.42088,94.19999999999999,64.1999999999987,68.15286624203685,1,H4,1.4153,1.4033,1.4333,1.4033,1.5,120.0000000000001,180.00000000000014,sl,-120.0000000000001,-1.0,loss,65.8000000000003,147.99999999999923,0.8333333333333327
AUDJPY,M,bullish,direct_touch,2010-02-01,2010-03-01,2010-05-06 18:00:00,2010-05-06 18:00:00,2010-05-07 02:00:00,0.3333333333333333,79.112,76.201,79.671,291.1,347.0000000000013,119.20302301614609,10,D,77.1205,73.85216666666668,82.023,82.023,1.5,326.8333333333331,490.2499999999989,tp,490.2499999999989,1.4999999999999978,win,537.1499999999997,23.550000000000182,0.0030596634370219297
CHFJPY,M,bullish,direct_touch,2010-03-01,2010-04-01,2010-05-06 17:00:00,2010-05-06 18:00:00,2010-05-06 19:00:00,0.041666666666666664,82.743,81.779,81.8795,96.39999999999999,10.04999999999967,10.42531120331916,3,W,81.8795,80.66116666666666,83.707,80.66116666666666,1.5,121.83333333333337,182.75000000000006,sl,-121.83333333333337,-1.0,loss,80.45000000000044,296.54999999999916,0.008207934336525306
GBPJPY,M,bullish,direct_touch,2010-03-01,2010-04-01,2010-05-06 18:00:00,2010-05-06 18:00:00,2010-05-07 02:00:00,0.3333333333333333,134.678,132.0315,134.665,264.65,263.3499999999998,99.50878518798405,7,3D,132.4925,129.2711666666667,137.3245,137.3245,1.5,322.13333333333196,483.19999999999936,tp,483.19999999999936,1.5000000000000044,win,483.6500000000001,270.950000000002,0.0031043046357616022
USDJPY,M,bullish,direct_touch,2010-03-01,2010-04-01,2010-05-06 18:00:00,2010-05-06 18:00:00,2010-05-06 19:00:00,0.041666666666666664,88.8605,88.1395,88.5545,72.1,41.500000000000625,57.55894590846135,2,H1,88.348,87.52566666666667,89.5815,89.5815,1.5,82.23333333333329,123.35000000000065,tp,123.35000000000065,1.5000000000000087,win,348.19999999999993,33.799999999999386,0.012160518848804222
NZDCAD,M,bullish,direct_touch,2010-04-01,2010-05-03,2010-05-17 15:00:00,2010-05-19 13:00:00,2010-07-14 15:00:00,56.083333333333336,0.72156,0.69795,0.70656,236.09999999999997,86.10000000000007,36.46759847522239,3,H4,0.70356,0.67582,0.74517,0.74517,1.5,277.39999999999986,416.10000000000036,tp,416.10000000000036,1.500000000000002,win,435.6000000000004,89.89999999999942,0.36049026676279755
NZDCHF,M,bullish,direct_touch,2010-04-01,2010-05-03,2010-06-29 18:00:00,2010-06-30 19:00:00,2010-07-14 08:00:00,13.541666666666666,0.74895,0.73624,0.73874,127.10000000000001,24.999999999999467,19.6695515342246,3,H4,0.73924,0.7242933333333333,0.76166,0.76166,1.5,149.46666666666664,224.19999999999993,tp,224.19999999999993,1.4999999999999998,win,229.0000000000003,129.5999999999997,0.6690454950936665
NZDCAD,M,bearish,direct_touch,2010-05-03,2010-06-01,2010-06-23 13:00:00,2010-07-14 15:00:00,2010-07-27 17:00:00,13.083333333333334,0.74024,0.75808,0.74212,178.4,159.59999999999974,89.4618834080716,2,H1,0.74512,0.7602666666666666,0.7224,0.7602666666666666,1.5,151.4666666666664,227.19999999999962,sl,-151.4666666666664,-1.0,loss,31.400000000000315,156.39999999999986,0.6602112676056349
