pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots,entry_spread_pips,exit_spread_pips,commission_usd
GBPUSD,W,bullish,direct_touch,2010-01-11,2010-01-18,2010-01-29,2010-02-01 08:00:00,2010-02-05 07:00:00,3.9583333333333335,1.607,1.58972,1.60482,172.8,150.99999999999892,87.38425925925864,9,D,1.59163,1.5698633333333336,1.62428,1.5698633333333336,1.5,217.6666666666649,326.49999999999847,sl,-222.3064734197666,-1.0236132010096557,loss,153.89999999999793,248.90000000000077,0.4594180704441079,2.29730530082544,2.3425014522763252,2.2970903522205393
EURNZD,W,bearish,direct_touch,2010-01-25,2010-02-01,2010-02-04,2010-02-04 08:00:00,2010-02-11 00:00:00,6.666666666666667,1.9884,2.0018,1.99296,134.0,88.39999999999736,65.97014925372939,1,H1,1.99628,2.010466666666667,1.9749999999999999,1.9749999999999999,1.5,141.86666666666792,212.80000000000186,tp,209.9317953314106,1.4762579558135014,win,246.900000000001,98.50000000000136,0.7048872180451065,1.084487439746428,1.7837172288440861,3.5244360902255325
CADCHF,W,bearish,direct_touch,2010-01-18,2010-01-25,2010-02-02,2010-02-05 03:00:00,2010-02-11 14:00:00,6.458333333333333,0.99764,1.0051,1.0024,74.6,27.000000000001467,36.19302949061859,2,D,1.00469,1.0143633333333335,0.99018,1.0143633333333335,1.5,96.73333333333422,145.10000000000133,sl,-98.6348996910813,-1.0248266680676816,loss,106.30000000000028,102.0999999999983,1.0337698139214242,1.2433112708887775,0.6582550868574468,5.168849069607121
GBPCAD,W,bullish,direct_touch,2010-01-11,2010-01-18,2010-02-11,2010-02-11 08:00:00,2010-02-16 12:00:00,5.166666666666667,1.65224,1.64023,1.64917,120.1,89.39999999999948,74.43796835969981,6,H4,1.65006,1.639029,1.66425,1.639029,1.2863747620342587,110.31000000000013,141.89999999999924,sl,-114.48860698037855,-1.0424132624456388,loss,55.899999999999835,123.10000000000042,0.9065361254645987,1.8918321029820357,2.2867748773960166,4.532680627322994
EURNZD,W,bullish,direct_touch,2010-02-01,2010-02-08,2010-02-10,2010-02-11 14:00:00,2010-02-18 16:00:00,7.083333333333333,1.97933,1.95674,1.96458,225.89999999999998,78.40000000000069,34.70562195661828,5,D,1.95948,1.9311866666666668,2.00192,1.9311866666666668,1.5,282.9333333333328,424.4000000000003,sl,-287.63707934776005,-1.0183921277606995,loss,73.49999999999967,285.6000000000014,0.35344015080113167,2.3109224569659697,2.392823557461111,1.7672007540056582
NZDCHF,W,bearish,direct_touch,2010-02-01,2010-02-08,2010-02-11,2010-02-11 16:00:00,2010-04-09 11:00:00,56.791666666666664,0.74272,0.75298,0.74936,102.6,36.19999999999956,35.28265107212433,6,D,0.75178,0.76466,0.73246,0.76466,1.5,128.8,193.20000000000002,sl,-130.6467266200517,-1.0182199271743144,loss,155.39999999999998,131.70000000000013,0.7763975155279502,0.7838074219809448,1.0629191980699675,3.881987577639751
AUDNZD,W,bearish,direct_touch,2010-01-25,2010-02-01,2010-02-11,2010-02-11 21:00:00,2010-02-19 13:00:00,7.666666666666667,1.26896,1.27646,1.27232,75.0,41.400000000000325,55.200000000000436,2,H4,1.27639,1.2863433333333332,1.26146,1.2863433333333332,1.5,99.53333333333258,149.29999999999887,sl,-101.6116620501184,-1.0259041733099716,loss,79.499999999999,107.70000000000168,1.0046885465505768,1.6605486730889556,0.4177800436967985,5.023442732752884
EURGBP,W,bullish,direct_touch,2010-02-01,2010-02-08,2010-02-12,2010-02-12 08:00:00,2010-02-19 09:00:00,7.041666666666667,0.86928,0.86032,0.86833,89.6,80.10000000000073,89.39732142857225,6,H4,0.86662,0.8588733333333333,0.87824,0.87824,1.5,77.4666666666668,116.20000000000074,tp,114.20479570130259,1.467789961720771,win,126.80000000000024,7.999999999999119,1.2908777969018912,1.4645212094731512,0.530683089224825,6.454388984509456
GBPCHF,W,bullish,direct_touch,2010-02-08,2010-02-15,2010-02-19,2010-02-21 22:00:00,2010-02-26 09:00:00,4.458333333333333,1.67572,1.65931,1.67521,164.10000000000002,159.00000000000026,96.89213893967109,3,D,1.6625,1.6427466666666668,1.6921300000000001,1.6427466666666668,1.5,197.53333333333288,296.30000000000047,sl,-199.99897218609286,-1.0150133590251098,loss,112.20000000000007,224.20000000000104,0.5062436719541018,0.40408640855451866,2.061552444205955,2.531218359770509
EURGBP,W,bearish,direct_touch,2010-02-08,2010-02-15,2010-02-19,2010-02-23 09:00:00,2010-02-26 10:00:00,3.0416666666666665,0.87606,0.88416,0.87696,81.0,71.99999999999984,88.8888888888887,2,H4,0.88274,0.8925933333333333,0.86796,0.8925933333333333,1.5,98.5333333333338,147.80000000000015,sl,-100.44940050384254,-1.0245203028130114,loss,76.29999999999914,107.40000000000083,1.0148849797022956,0.6339468288229627,1.282120341685793,5.074424898511478
