pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
NZDUSD,3D,bearish,direct_touch,2010-01-05 00:00:00,2010-01-08 00:00:00,2010-01-08 13:00:00,2010-01-08 18:00:00,2010-01-20 09:00:00,11.625,0.73405,0.74285,0.7353,88.0,75.50000000000057,85.79545454545519,2,H1,0.73755,0.7457500000000001,0.72525,0.72525,1.5,82.00000000000095,123.00000000000088,tp,123.00000000000088,1.4999999999999933,win,137.5000000000004,66.49999999999933,1.219512195121937
EURUSD,3D,bearish,direct_touch,2010-01-05 00:00:00,2010-01-08 00:00:00,2010-01-08 18:00:00,2010-01-10 23:00:00,2010-01-11 15:00:00,0.6666666666666666,1.44238,1.44834,1.44556,59.599999999999994,27.800000000000047,46.6442953020135,1,H1,1.44756,1.4549866666666667,1.43642,1.4549866666666667,1.5,74.26666666666692,111.39999999999927,sl,-74.26666666666692,-1.0,loss,66.99999999999928,78.30000000000003,1.3464991023339272
USDJPY,3D,bullish,direct_touch,2010-01-05 00:00:00,2010-01-08 00:00:00,2010-01-08 13:00:00,2010-01-11 15:00:00,2010-01-12 15:00:00,1.0,92.47,91.24,92.185,123.0,94.50000000000074,76.82926829268352,6,H1,92.12,91.06666666666668,93.7,91.06666666666668,1.5,105.33333333333275,157.99999999999983,sl,-105.33333333333275,-1.0,loss,32.99999999999983,121.0000000000008,0.009493670886076002
AUDCHF,3D,bearish,direct_touch,2010-01-11 02:03:00,2010-01-14 00:44:00,2010-01-15 00:00:00,2010-01-15 09:00:00,2010-01-21 20:00:00,6.458333333333333,0.9465,0.95022,0.9482,37.2,20.199999999999108,54.3010752688148,2,H1,0.95013,0.95613,0.9427800000000001,0.9427800000000001,1.2249999999999934,60.00000000000005,73.49999999999967,tp,73.49999999999967,1.2249999999999934,win,100.29999999999983,55.69999999999963,1.6666666666666654
EURCAD,3D,bullish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:00:00,2010-01-15 01:00:00,2010-01-15 13:00:00,2010-01-22 12:00:00,6.958333333333333,1.48045,1.4733,1.4772,71.5,39.00000000000014,54.54545454545475,1,H1,1.4737,1.4644333333333333,1.4876,1.4876,1.5,92.66666666666755,139.00000000000023,tp,139.00000000000023,1.499999999999988,win,156.4999999999994,72.00000000000095,1.0791366906474718
GBPUSD,3D,bearish,direct_touch,2010-01-14 00:00:00,2010-01-17 22:00:00,2010-01-18 00:00:00,2010-01-18 08:00:00,2010-01-19 09:00:00,1.0416666666666667,1.62805,1.63545,1.6307,74.0,47.50000000000032,64.18918918918962,3,D,1.63465,1.6439833333333334,1.62065,1.6439833333333334,1.5,93.33333333333415,140.0000000000001,sl,-93.33333333333415,-1.0,loss,47.50000000000032,111.0000000000011,1.0714285714285618
GBPCAD,3D,bearish,direct_touch,2010-01-14 00:03:00,2010-01-17 22:00:00,2010-01-18 07:00:00,2010-01-18 09:00:00,2010-01-18 13:00:00,0.16666666666666666,1.6785,1.6842,1.6806,57.0,35.99999999999825,63.15789473683904,1,H1,1.6805,1.6865,1.6728,1.6728,1.283333333333339,60.00000000000005,77.0000000000004,tp,77.0000000000004,1.283333333333339,win,83.00000000000196,1.9999999999997797,1.6666666666666654
CADCHF,3D,bearish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:04:00,2010-01-15 08:00:00,2010-01-19 13:00:00,2010-01-21 20:00:00,2.2916666666666665,0.99876,1.00475,1.0033,59.89999999999999,14.499999999999513,24.207011686142764,1,H1,1.00401,1.0115033333333334,0.9927699999999999,0.9927699999999999,1.5,74.93333333333351,112.40000000000138,tp,112.40000000000138,1.5000000000000149,win,136.10000000000122,1.8999999999991246,1.3345195729537336
USDCHF,3D,bearish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:00:00,2010-01-19 12:00:00,2010-01-20 01:00:00,2010-01-20 13:00:00,0.5,1.03375,1.03845,1.03795,47.0,5.00000000000167,10.638297872343978,1,H1,1.0384,1.0446333333333333,1.02905,1.0446333333333333,1.5,62.33333333333313,93.49999999999969,sl,-62.33333333333313,-1.0,loss,58.00000000000027,66.99999999999928,1.6042780748663155
NZDUSD,3D,bullish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:00:00,2010-01-20 01:00:00,2010-01-20 02:00:00,2010-01-20 10:00:00,0.3333333333333333,0.7324,0.7286,0.73025,38.0,16.499999999999293,43.42105263157709,1,H1,0.7289,0.7229,0.7362000000000001,0.7229,1.2166666666666797,60.00000000000005,73.00000000000084,sl,-60.00000000000005,-1.0,loss,21.999999999999797,86.50000000000045,1.6666666666666654
USDCAD,3D,bearish,direct_touch,2010-01-14 00:00:00,2010-01-17 22:00:00,2010-01-18 01:00:00,2010-01-20 12:00:00,2010-01-22 13:00:00,2.0416666666666665,1.03095,1.04135,1.03215,103.99999999999999,92.00000000000097,88.4615384615394,1,D,1.0411,1.0547999999999997,1.02055,1.0547999999999997,1.5,136.99999999999824,205.49999999999847,sl,-136.99999999999824,-1.0,loss,27.49999999999808,160.00000000000014,0.7299270072992795
EURCHF,3D,bullish,direct_touch,2010-01-11 00:00:00,2010-01-14 00:00:00,2010-01-14 18:00:00,2010-01-20 17:00:00,2010-01-29 00:00:00,8.291666666666666,1.47585,1.4723,1.4742,35.5,19.000000000000128,53.52112676056374,3,H1,1.47295,1.46695,1.4794,1.46695,1.0750000000000102,60.00000000000005,64.50000000000067,sl,-60.00000000000005,-1.0,loss,16.499999999999293,63.99999999999961,1.6666666666666654
GBPJPY,3D,bullish,direct_touch,2010-01-11 00:00:00,2010-01-14 00:00:00,2010-01-14 13:00:00,2010-01-21 16:00:00,2010-01-26 10:00:00,4.75,148.575,146.65,148.055,192.5,140.5000000000001,72.98701298701305,3,D,146.705,144.175,150.5,144.175,1.5,253.0000000000001,379.49999999999875,sl,-253.0000000000001,-1.0,loss,78.9999999999992,263.0000000000024,0.003952569169960472
USDJPY,3D,bullish,direct_touch,2010-01-17 22:00:00,2010-01-20 00:00:00,2010-01-21 16:00:00,2010-01-21 16:00:00,2010-01-22 02:00:00,0.4166666666666667,90.745,90.315,90.6,43.0,28.49999999999966,66.27906976744107,1,H1,90.4,89.80000000000001,91.17500000000001,89.80000000000001,1.2916666666666883,59.99999999999943,77.50000000000057,sl,-59.99999999999943,-1.0,loss,78.00000000000011,62.000000000000455,0.016666666666666823
CHFJPY,3D,bullish,direct_touch,2010-01-24 22:00:00,2010-01-26 00:00:00,2010-01-26 02:00:00,2010-01-26 03:00:00,2010-01-26 14:00:00,0.4583333333333333,86.74,86.105,86.265,63.5,15.999999999999659,25.19685039370025,1,H1,86.315,85.60833333333333,87.375,85.60833333333333,1.5,70.66666666666634,106.00000000000023,sl,-70.66666666666634,-1.0,loss,41.500000000000625,82.50000000000028,0.01415094339622648
EURJPY,3D,bullish,direct_touch,2010-01-24 22:00:00,2010-01-26 00:00:00,2010-01-26 02:00:00,2010-01-26 03:00:00,2010-01-26 14:00:00,0.4583333333333333,127.75,126.525,127.07,122.5,54.49999999999875,44.48979591836632,2,H1,127.135,125.90833333333335,128.975,125.90833333333335,1.5,122.66666666666595,183.99999999999892,sl,-122.66666666666595,-1.0,loss,45.999999999999375,127.00000000000102,0.008152173913043527
USDJPY,3D,bullish,direct_touch,2010-01-24 22:00:00,2010-01-26 00:00:00,2010-01-26 02:00:00,2010-01-26 03:00:00,2010-01-27 03:00:00,1.0,90.255,89.78,89.81,47.5,3.0000000000001137,6.31578947368445,1,H1,89.885,89.28500000000001,90.72999999999999,89.28500000000001,1.408333333333321,59.99999999999943,84.49999999999847,sl,-59.99999999999943,-1.0,loss,53.49999999999966,71.50000000000034,0.016666666666666823
CADJPY,3D,bullish,direct_touch,2010-01-24 22:00:00,2010-01-26 00:00:00,2010-01-26 02:00:00,2010-01-26 04:00:00,2010-01-26 09:00:00,0.20833333333333334,85.28,84.82,84.83,46.0,1.0000000000005116,2.1739130434793728,1,D,84.83,84.22333333333333,85.74,84.22333333333333,1.5,60.66666666666691,90.99999999999966,sl,-60.66666666666691,-1.0,loss,42.499999999999716,80.49999999999926,0.016483516483516418
EURAUD,3D,bearish,direct_touch,2010-01-24 22:00:00,2010-01-26 00:00:00,2010-01-26 04:00:00,2010-01-26 06:00:00,2010-01-26 16:00:00,0.4166666666666667,1.56685,1.5707,1.5695,38.5,12.000000000000899,31.168831168833506,2,H1,1.5705,1.5765,1.5630000000000002,1.5630000000000002,1.2499999999999722,60.00000000000005,74.9999999999984,tp,74.9999999999984,1.2499999999999722,win,82.5000000000009,42.50000000000087,1.6666666666666654
AUDNZD,3D,bearish,direct_touch,2010-01-24 22:00:00,2010-01-26 00:00:00,2010-01-26 09:00:00,2010-01-26 12:00:00,2010-01-27 01:00:00,0.5416666666666666,1.26805,1.27205,1.27055,40.0,14.999999999998348,37.49999999999587,2,H4,1.27025,1.27625,1.26405,1.27625,1.0333333333333667,60.00000000000005,62.00000000000205,sl,-60.00000000000005,-1.0,loss,29.000000000001247,60.99999999999994,1.6666666666666654
EURGBP,3D,bullish,direct_touch,2010-01-20 00:00:00,2010-01-24 22:00:00,2010-01-25 16:00:00,2010-01-28 01:00:00,2010-02-09 09:00:00,12.333333333333334,0.87285,0.86505,0.8712,77.99999999999999,61.499999999999886,78.84615384615371,6,D,0.86535,0.8551499999999999,0.88065,0.88065,1.5,102.00000000000098,153.0000000000009,tp,153.0000000000009,1.4999999999999944,win,159.5000000000002,51.49999999999988,0.9803921568627357
GBPCHF,3D,bearish,direct_touch,2010-01-20 00:00:00,2010-01-24 22:00:00,2010-01-25 16:00:00,2010-01-28 01:00:00,2010-02-05 01:00:00,8.0,1.68945,1.7036,1.69385,141.5,97.49999999999925,68.90459363957545,5,D,1.7017,1.7193,1.6752999999999998,1.6752999999999998,1.5,176.0000000000006,264.000000000002,tp,264.000000000002,1.5000000000000062,win,266.5000000000006,95.00000000000064,0.5681818181818162
