pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
EURJPY,M,bullish,direct_touch,2010-02-28 22:00:00,2010-03-31 21:00:00,2010-05-05 13:00:00,2010-05-06 06:00:00,2010-05-06 15:00:00,0.375,121.04,119.645,119.765,139.5,12.000000000000455,8.602150537634735,4,W,119.765,117.985,122.435,117.985,1.5,178.0000000000001,267.00000000000017,sl,-178.0000000000001,-1.0,loss,70.49999999999983,319.50000000000074,0.005617977528089885
EURCHF,M,bullish,direct_touch,2010-03-31 21:00:00,2010-05-02 21:00:00,2010-05-06 09:00:00,2010-05-06 11:00:00,2010-05-06 18:00:00,0.2916666666666667,1.42375,1.41435,1.4208,94.0,64.50000000000067,68.61702127659646,1,H4,1.41515,1.4031499999999997,1.4331500000000001,1.4031499999999997,1.5,120.00000000000232,180.00000000000236,sl,-120.00000000000232,-1.0,loss,66.50000000000044,149.999999999999,0.8333333333333173
CHFJPY,M,bullish,direct_touch,2010-02-28 22:00:00,2010-03-31 21:00:00,2010-05-06 17:00:00,2010-05-06 18:00:00,2010-05-06 19:00:00,0.041666666666666664,82.695,81.77,81.87,92.5,10.000000000000853,10.81081081081173,5,W,81.87,80.70333333333335,83.61999999999999,80.70333333333335,1.5,116.66666666666572,174.99999999999858,sl,-116.66666666666572,-1.0,loss,81.00000000000023,297.50000000000085,0.008571428571428641
GBPJPY,M,bullish,direct_touch,2010-02-28 22:00:00,2010-03-31 21:00:00,2010-05-06 18:00:00,2010-05-06 18:00:00,2010-05-07 02:00:00,0.3333333333333333,134.635,131.995,134.635,264.0,263.99999999999864,99.99999999999947,11,W,132.48,129.28333333333333,137.27499999999998,137.27499999999998,1.5,319.66666666666583,479.49999999999875,tp,479.49999999999875,1.5,win,483.00000000000125,278.49999999999966,0.0031282586027111658
USDJPY,M,bullish,direct_touch,2010-02-28 22:00:00,2010-03-31 21:00:00,2010-05-06 18:00:00,2010-05-06 18:00:00,2010-05-06 19:00:00,0.041666666666666664,88.845,88.135,88.55,71.0,41.499999999999204,58.45070422535099,2,H1,88.34,87.53000000000002,89.55499999999999,89.55499999999999,1.5,80.9999999999988,121.49999999999892,tp,121.49999999999892,1.5000000000000089,win,348.49999999999994,40.00000000000057,0.012345679012345862
NZDCAD,M,bullish,direct_touch,2010-03-31 21:00:00,2010-05-02 21:00:00,2010-05-17 16:00:00,2010-05-19 13:00:00,2010-07-13 17:00:00,55.166666666666664,0.72063,0.6977,0.7055,229.29999999999998,78.00000000000028,34.016572176188525,4,H4,0.70308,0.6760933333333334,0.74356,0.74356,1.5,269.866666666666,404.7999999999996,tp,404.7999999999996,1.5000000000000022,win,416.1999999999999,92.80000000000065,0.37055335968379544
GBPCHF,M,bullish,direct_touch,2010-03-31 21:00:00,2010-05-02 21:00:00,2010-07-01 01:00:00,2010-07-01 10:00:00,2010-07-01 15:00:00,0.20833333333333334,1.60005,1.578,1.5948,220.5,167.99999999999926,76.19047619047585,4,D,1.5948,1.575795,1.6220999999999999,1.6220999999999999,1.4364640883977884,190.0499999999994,272.9999999999988,tp,272.9999999999988,1.4364640883977884,win,348.9999999999993,1.500000000000945,0.5261773217574339
NZDCAD,M,bearish,direct_touch,2010-05-02 21:00:00,2010-05-31 21:00:00,2010-06-23 13:00:00,2010-07-14 15:00:00,2010-09-28 15:00:00,76.0,0.7395,0.7571,0.7417,176.0,153.9999999999997,87.49999999999983,5,H4,0.746,0.7620666666666666,0.7219000000000001,0.7620666666666666,1.5,160.6666666666656,240.99999999999898,sl,-160.6666666666656,-1.0,loss,169.00000000000026,164.49999999999963,0.6224066390041535
AUDCAD,M,bearish,direct_touch,2010-05-02 21:00:00,2010-05-31 21:00:00,2010-08-06 12:00:00,2010-08-06 18:00:00,2010-08-13 13:00:00,6.791666666666667,0.93874,0.9453,0.94445,65.6,8.500000000000174,12.957317073170998,0,wick_diff,0.94445,0.95263,0.93218,0.93218,1.5,81.79999999999964,122.70000000000003,tp,122.70000000000003,1.5000000000000069,win,138.89999999999958,18.199999999999328,1.2224938875305678
CADJPY,M,bullish,direct_touch,2010-06-30 21:00:00,2010-08-01 21:00:00,2010-08-09 00:00:00,2010-08-11 09:00:00,2010-08-24 06:00:00,12.875,83.08,81.595,82.98,148.5,138.5000000000005,93.26599326599361,7,W,81.995,80.28166666666668,84.565,80.28166666666668,1.5,171.3333333333324,256.9999999999993,sl,-171.3333333333324,-1.0,loss,151.9999999999996,173.0000000000004,0.005836575875486413
