pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
AUDCAD,W,bullish,direct_touch,2010-01-18 22:09:00,2010-01-25 22:03:00,2010-01-29 00:00:00,2010-01-29 17:00:00,2010-02-02 04:00:00,3.4583333333333335,0.9501,0.94457,0.9448,55.3,2.2999999999995246,4.159132007232413,0,wick_diff,0.9448,0.93758,0.95563,0.93758,1.5,72.20000000000005,108.30000000000005,sl,-72.20000000000005,-1.0,loss,30.10000000000068,102.99999999999976,1.3850415512465366
EURAUD,W,bearish,direct_touch,2010-01-25 22:00:00,2010-02-01 22:00:00,2010-02-02 03:00:00,2010-02-02 03:00:00,2010-02-04 16:00:00,2.5416666666666665,1.56485,1.5813,1.5707,164.49999999999997,105.99999999999942,64.43768996960452,2,H1,1.57595,1.5943166666666666,1.5484,1.5943166666666666,1.5,183.6666666666664,275.4999999999996,sl,-183.6666666666664,-1.0,loss,169.5000000000002,192.4999999999999,0.5444646098003638
GBPAUD,W,bearish,direct_touch,2010-01-25 22:00:00,2010-02-01 22:00:00,2010-02-02 03:00:00,2010-02-02 04:00:00,2010-02-10 18:00:00,8.583333333333334,1.79582,1.81321,1.80012,173.89999999999998,130.90000000000046,75.27314548591171,6,D,1.81143,1.8334300000000001,1.77843,1.77843,1.5,220.0000000000002,330.00000000000136,tp,330.00000000000136,1.5000000000000049,win,330.7000000000015,158.49999999999918,0.45454545454545414
EURNZD,W,bearish,direct_touch,2010-01-25 22:00:00,2010-02-01 22:00:00,2010-02-04 00:00:00,2010-02-04 06:00:00,2010-02-11 13:00:00,7.291666666666667,1.98147,2.00043,1.99113,189.6,93.00000000000085,49.05063291139285,3,H1,1.99151,2.0108433333333333,1.96251,1.96251,1.5,193.33333333333422,289.99999999999915,tp,289.99999999999915,1.4999999999999887,win,316.8999999999999,131.30000000000308,0.5172413793103424
NZDCHF,W,bullish,direct_touch,2010-01-25 22:13:00,2010-02-01 22:13:00,2010-02-04 00:00:00,2010-02-04 15:00:00,2010-02-11 17:00:00,7.083333333333333,0.7424,0.7358,0.73755,66.0,17.50000000000029,26.515151515151956,2,H4,0.7366,0.7283333333333334,0.749,0.749,1.5,82.66666666666644,123.99999999999966,tp,123.99999999999966,1.5,win,145.99999999999946,66.0000000000005,1.209677419354842
USDJPY,W,bullish,direct_touch,2010-01-25 22:00:00,2010-02-01 22:00:00,2010-02-02 15:00:00,2010-02-04 16:00:00,2010-02-18 16:00:00,14.0,90.265,89.135,89.78,112.99999999999999,64.4999999999996,57.07964601769877,5,D,89.625,88.44500000000001,91.395,91.395,1.5,117.99999999999926,176.9999999999996,tp,176.9999999999996,1.500000000000006,win,185.99999999999994,107.50000000000028,0.008474576271186494
EURCAD,W,bullish,direct_touch,2010-01-18 22:00:00,2010-01-25 22:00:00,2010-02-02 03:00:00,2010-02-05 01:00:00,2010-02-10 19:00:00,5.75,1.47555,1.4665,1.4719,90.5,54.00000000000071,59.6685082872936,2,H4,1.4678,1.4566000000000001,1.4846,1.4566000000000001,1.5,111.99999999999876,167.99999999999926,sl,-111.99999999999876,-1.0,loss,92.00000000000097,118.00000000000033,0.8928571428571527
GBPAUD,W,bullish,direct_touch,2010-02-01 22:00:00,2010-02-08 22:00:00,2010-02-09 08:00:00,2010-02-09 09:00:00,2010-02-10 10:00:00,1.0416666666666667,1.78955,1.78378,1.78789,57.699999999999996,41.10000000000058,71.23050259965439,4,D,1.78833,1.78233,1.79532,1.79532,1.1650000000000076,60.00000000000005,69.90000000000052,tp,69.90000000000052,1.1650000000000076,win,90.39999999999937,53.7999999999994,1.6666666666666654
EURAUD,W,bullish,direct_touch,2010-02-01 22:00:00,2010-02-08 22:00:00,2010-02-11 00:00:00,2010-02-11 00:00:00,2010-02-11 08:00:00,0.3333333333333333,1.5628,1.54975,1.559,130.5,92.4999999999998,70.8812260536397,2,D,1.5612,1.548445,1.57585,1.548445,1.148569188553526,127.54999999999849,146.5000000000005,sl,-127.54999999999849,-1.0,loss,70.5,140.49999999999895,0.7840062720501857
AUDCHF,W,bearish,direct_touch,2010-02-01 22:13:00,2010-02-08 22:08:00,2010-02-11 01:00:00,2010-02-11 01:00:00,2010-02-11 11:00:00,0.4166666666666667,0.9409,0.9475,0.9427,66.0,48.00000000000026,72.72727272727313,3,D,0.9425,0.9485,0.9342999999999999,0.9485,1.3666666666666816,60.00000000000005,82.00000000000095,sl,-60.00000000000005,-1.0,loss,5.0000000000005596,62.99999999999972,1.6666666666666654
EURNZD,W,bullish,direct_touch,2010-02-01 22:00:00,2010-02-08 22:00:00,2010-02-11 08:00:00,2010-02-11 13:00:00,2010-02-11 16:00:00,0.125,1.96518,1.95595,1.9617,92.3,57.49999999999922,62.29685807150511,2,H4,1.96038,1.9510266666666667,1.97441,1.9510266666666667,1.5,93.53333333333325,140.29999999999987,sl,-93.53333333333325,-1.0,loss,34.49999999999953,145.50000000000063,1.0691375623663588
NZDCHF,W,bearish,direct_touch,2010-02-01 22:13:00,2010-02-08 22:21:00,2010-02-11 17:00:00,2010-02-11 17:00:00,2010-02-16 07:00:00,4.583333333333333,0.7482,0.7525,0.7498,43.0,26.999999999999247,62.79069767441685,2,H4,0.7499,0.7559,0.7439,0.7559,1.0,60.00000000000005,60.00000000000005,sl,-60.00000000000005,-1.0,loss,53.699999999999854,62.99999999999972,1.6666666666666654
