pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
EURCHF,M,bullish,direct_touch,2010-04-01,2010-05-03,2010-05-06 09:00:00,2010-05-06 11:00:00,2010-05-06 18:00:00,0.2916666666666667,1.42388,1.41446,1.42088,94.2,64.1999999999987,68.15286624203685,1,H4,1.4153,1.4033,1.4333,1.4033,1.5,120.0000000000001,180.00000000000014,sl,-120.0000000000001,-1.0,loss,65.8000000000003,147.99999999999923,0.8333333333333327
CHFJPY,M,bullish,direct_touch,2010-03-01,2010-04-01,2010-05-06 17:00:00,2010-05-06 18:00:00,2010-05-06 19:00:00,0.0416666666666666,82.743,81.779,81.8795,96.4,10.04999999999967,10.42531120331916,3,W,81.8795,80.66116666666666,83.707,80.66116666666666,1.5,121.83333333333336,182.75000000000009,sl,-121.83333333333336,-1.0,loss,80.45000000000044,296.54999999999916,0.0082079343365253
GBPJPY,M,bullish,direct_touch,2010-03-01,2010-04-01,2010-05-06 18:00:00,2010-05-06 18:00:00,2010-05-07 02:00:00,0.3333333333333333,134.678,132.0315,134.665,264.65,263.3499999999998,99.50878518798405,7,3D,132.4925,129.2711666666667,137.3245,137.3245,1.5,322.13333333333196,483.19999999999936,tp,483.19999999999936,1.5000000000000044,win,483.6500000000001,270.950000000002,0.0031043046357616
NZDCAD,M,bullish,direct_touch,2010-04-01,2010-05-03,2010-05-17 15:00:00,2010-05-19 13:00:00,2010-07-14 15:00:00,56.083333333333336,0.72156,0.69795,0.70656,236.09999999999997,86.10000000000007,36.46759847522239,3,H4,0.70356,0.67582,0.74517,0.74517,1.5,277.39999999999986,416.1000000000003,tp,416.1000000000003,1.500000000000002,win,435.6000000000004,89.89999999999942,0.3604902667627975
CADJPY,M,bullish,direct_touch,2010-07-01,2010-08-02,2010-08-06 12:00:00,2010-08-11 11:00:00,2010-08-24 07:00:00,12.833333333333334,83.124,81.614,82.994,151.0,137.99999999999957,91.3907284768209,7,W,81.766,79.85400000000001,84.634,79.85400000000001,1.5,191.1999999999992,286.7999999999995,sl,-191.1999999999992,-1.0,loss,175.79999999999956,196.9999999999999,0.0052301255230125
EURCHF,M,bullish,direct_touch,2010-07-01,2010-08-02,2010-08-20 09:00:00,2010-08-23 06:00:00,2010-08-25 05:00:00,1.9583333333333333,1.31841,1.30738,1.31665,110.3,92.70000000000113,84.04351767905813,2,H1,1.31109,1.2988566666666668,1.3294400000000002,1.2988566666666668,1.5,122.33333333333316,183.50000000000088,sl,-122.33333333333316,-1.0,loss,81.09999999999839,123.69999999999992,0.8174386920980938
GBPJPY,M,bullish,direct_touch,2010-07-01,2010-08-02,2010-08-20 10:00:00,2010-08-24 07:00:00,2010-09-07 12:00:00,14.208333333333334,132.161,130.4245,130.8445,173.64999999999998,42.00000000000159,24.186582205586863,1,H1,130.452,128.155,133.8975,128.155,1.5,229.6999999999997,344.550000000001,sl,-229.6999999999997,-1.0,loss,317.7999999999997,243.39999999999975,0.0043535045711798
GBPCHF,M,bullish,direct_touch,2010-07-01,2010-08-02,2010-08-19 14:00:00,2010-08-24 15:00:00,2010-08-31 14:00:00,6.958333333333333,1.61014,1.58333,1.60974,268.09999999999997,264.1000000000004,98.508019395748,6,D,1.5905,1.5595333333333334,1.63695,1.5595333333333334,1.5,309.66666666666583,464.4999999999988,sl,-309.66666666666583,-1.0,loss,162.199999999999,325.4000000000001,0.3229278794402592
NZDCAD,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-01 01:00:00,2010-09-02 13:00:00,2010-10-18 08:00:00,45.791666666666664,0.74699,0.76079,0.75423,138.0,65.6000000000001,47.53623188405805,7,3D,0.75421,0.7682233333333334,0.73319,0.7682233333333334,1.5,140.1333333333332,210.2000000000004,sl,-140.1333333333332,-1.0,loss,125.900000000001,142.09999999999943,0.7136060894386305
EURGBP,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-01 08:00:00,2010-09-06 10:00:00,2010-09-22 13:00:00,16.125,0.83145,0.85317,0.83628,217.2,168.8999999999996,77.76243093922633,11,D,0.83815,0.8570966666666665,0.8097300000000001,0.8570966666666665,1.5,189.46666666666556,284.1999999999989,sl,-189.46666666666556,-1.0,loss,179.0999999999998,196.10000000000016,0.5277973258268855
