================================================================================
GAP SIZE OPTIMIZATION - PHASE A: SMART EXCLUSION FILTERS
TIMEFRAME: M
================================================================================

Total Configurations Tested: 182
Strategy: Test exclusion filters (remove outliers), not tight windows
Goal: Filter 5-20% of trades max (preserve trade count!)

================================================================================
TOP 3 CONFIGURATIONS (by Expectancy)
================================================================================

RANK #1: 150-200 pips
--------------------------------------------------------------------------------
  Range:            150-200 pips
  Trades:            231 ( 85.6% filtered)
  Expectancy:       +0.077R
  Win Rate:          43.7%
  SQN:               0.96
  Profit Factor:     1.14
  Max DD:            -16.8R
  Cumulative R:     +17.8R
  Duration (days):  Avg  24.9 | Min   0.0 | Max    288
  Concurrent:       Avg  0.9 | Max   4

RANK #2: 150-350 pips
--------------------------------------------------------------------------------
  Range:            150-350 pips
  Trades:            600 ( 62.5% filtered)
  Expectancy:       +0.067R
  Win Rate:          43.3%
  SQN:               1.34
  Profit Factor:     1.12
  Max DD:            -36.4R
  Cumulative R:     +40.2R
  Duration (days):  Avg  35.1 | Min   0.0 | Max    455
  Concurrent:       Avg  2.9 | Max   9

RANK #3: 150-225 pips
--------------------------------------------------------------------------------
  Range:            150-225 pips
  Trades:            321 ( 79.9% filtered)
  Expectancy:       +0.059R
  Win Rate:          43.0%
  SQN:               0.86
  Profit Factor:     1.10
  Max DD:            -25.0R
  Cumulative R:     +18.8R
  Duration (days):  Avg  27.6 | Min   0.0 | Max    288
  Concurrent:       Avg  1.3 | Max   6

================================================================================
ALL CONFIGURATIONS (sorted by Expectancy)
================================================================================

Description               Range         Trades   Filt%   Exp(R)   WR(%)     SQN      PF
--------------------------------------------------------------------------------
150-200 pips              150-200          231   85.6%  +0.077R   43.7%   0.96   1.14
150-350 pips              150-350          600   62.5%  +0.067R   43.3%   1.34   1.12
150-225 pips              150-225          321   79.9%  +0.059R   43.0%   0.86   1.10
150-325 pips              150-325          562   64.9%  +0.055R   42.9%   1.07   1.10
Min 150 pips              150-9999         821   48.7%  +0.053R   43.0%   1.24   1.09
150-600 pips              150-600          768   52.0%  +0.051R   42.8%   1.16   1.09
150-425 pips              150-425          688   57.0%  +0.050R   42.7%   1.08   1.09
150-650 pips              150-650          785   50.9%  +0.050R   42.8%   1.16   1.09
150-400 pips              150-400          656   59.0%  +0.049R   42.7%   1.03   1.09
150-575 pips              150-575          763   52.3%  +0.049R   42.7%   1.11   1.09
150-675 pips              150-675          788   50.7%  +0.049R   42.8%   1.13   1.09
150-750 pips              150-750          793   50.4%  +0.049R   42.7%   1.12   1.08
150-725 pips              150-725          791   50.5%  +0.048R   42.7%   1.11   1.08
150-275 pips              150-275          470   70.6%  +0.047R   42.6%   0.84   1.08
150-775 pips              150-775          796   50.2%  +0.047R   42.7%   1.10   1.08
150-800 pips              150-800          799   50.0%  +0.046R   42.7%   1.08   1.08
150-700 pips              150-700          790   50.6%  +0.046R   42.7%   1.07   1.08
150-625 pips              150-625          777   51.4%  +0.045R   42.6%   1.04   1.08
150-375 pips              150-375          631   60.5%  +0.045R   42.5%   0.92   1.08
125-350 pips              125-350          771   51.8%  +0.044R   42.4%   0.99   1.08
150-525 pips              150-525          747   53.3%  +0.042R   42.4%   0.94   1.07
