================================================================================
GAP SIZE OPTIMIZATION - PHASE A: SMART EXCLUSION FILTERS
TIMEFRAME: W
================================================================================

Total Configurations Tested: 182
Strategy: Test exclusion filters (remove outliers), not tight windows
Goal: Filter 5-20% of trades max (preserve trade count!)

================================================================================
TOP 3 CONFIGURATIONS (by Expectancy)
================================================================================

RANK #1: 150-225 pips
--------------------------------------------------------------------------------
  Range:            150-225 pips
  Trades:            633 ( 89.0% filtered)
  Expectancy:       +0.060R
  Win Rate:          43.1%
  SQN:               1.24
  Profit Factor:     1.11
  Max DD:            -13.1R
  Cumulative R:     +38.2R
  Duration (days):  Avg  13.2 | Min   0.0 | Max    152
  Concurrent:       Avg  1.4 | Max   6

RANK #2: Min 150 pips
--------------------------------------------------------------------------------
  Range:            150-9999 pips
  Trades:           1080 ( 81.3% filtered)
  Expectancy:       +0.046R
  Win Rate:          42.6%
  SQN:               1.23
  Profit Factor:     1.08
  Max DD:            -27.5R
  Cumulative R:     +49.2R
  Duration (days):  Avg  22.4 | Min   0.0 | Max   2979
  Concurrent:       Avg  4.1 | Max  13

RANK #3: 150-600 pips
--------------------------------------------------------------------------------
  Range:            150-600 pips
  Trades:           1055 ( 81.7% filtered)
  Expectancy:       +0.043R
  Win Rate:          42.5%
  SQN:               1.15
  Profit Factor:     1.07
  Max DD:            -27.1R
  Cumulative R:     +45.4R
  Duration (days):  Avg  17.2 | Min   0.0 | Max    350
  Concurrent:       Avg  3.3 | Max  13

================================================================================
ALL CONFIGURATIONS (sorted by Expectancy)
================================================================================

Description               Range         Trades   Filt%   Exp(R)   WR(%)     SQN      PF
--------------------------------------------------------------------------------
150-225 pips              150-225          633   89.0%  +0.060R   43.1%   1.24   1.11
Min 150 pips              150-9999        1080   81.3%  +0.046R   42.6%   1.23   1.08
150-600 pips              150-600         1055   81.7%  +0.043R   42.5%   1.15   1.07
150-675 pips              150-675         1060   81.6%  +0.043R   42.5%   1.15   1.07
150-800 pips              150-800         1067   81.5%  +0.043R   42.5%   1.14   1.07
125-225 pips              125-225         1120   80.6%  +0.043R   42.3%   1.17   1.07
150-200 pips              150-200          494   91.4%  +0.042R   42.3%   0.76   1.07
150-625 pips              150-625         1059   81.6%  +0.041R   42.4%   1.11   1.07
150-650 pips              150-650         1059   81.6%  +0.041R   42.4%   1.11   1.07
150-725 pips              150-725         1066   81.5%  +0.041R   42.4%   1.11   1.07
150-750 pips              150-750         1066   81.5%  +0.041R   42.4%   1.11   1.07
150-775 pips              150-775         1066   81.5%  +0.041R   42.4%   1.11   1.07
150-550 pips              150-550         1043   81.9%  +0.041R   42.4%   1.09   1.07
150-700 pips              150-700         1064   81.5%  +0.041R   42.4%   1.09   1.07
150-500 pips              150-500         1034   82.1%  +0.039R   42.3%   1.03   1.07
150-575 pips              150-575         1048   81.8%  +0.038R   42.3%   1.02   1.07
Min 125 pips              125-9999        1567   72.8%  +0.037R   42.2%   1.22   1.06
150-525 pips              150-525         1038   82.0%  +0.037R   42.2%   0.98   1.06
150-400 pips              150-400          994   82.8%  +0.036R   42.2%   0.94   1.06
125-600 pips              125-600         1542   73.3%  +0.036R   42.1%   1.15   1.06
125-675 pips              125-675         1547   73.2%  +0.035R   42.1%   1.15   1.06
150-425 pips              150-425         1007   82.5%  +0.035R   42.1%   0.92   1.06
125-800 pips              125-800         1554   73.0%  +0.035R   42.1%   1.14   1.06
125-625 pips              125-625         1546   73.2%  +0.035R   42.0%   1.12   1.06
125-650 pips              125-650         1546   73.2%  +0.035R   42.0%   1.12   1.06
125-725 pips              125-725         1553   73.1%  +0.034R   42.0%   1.11   1.06
125-750 pips              125-750         1553   73.1%  +0.034R   42.0%   1.11   1.06
125-775 pips              125-775         1553   73.1%  +0.034R   42.0%   1.11   1.06
125-550 pips              125-550         1530   73.5%  +0.034R   42.0%   1.10   1.06
125-700 pips              125-700         1551   73.1%  +0.034R   42.0%   1.10   1.06
150-475 pips              150-475         1025   82.2%  +0.034R   42.0%   0.89   1.06
150-375 pips              150-375          973   83.1%  +0.034R   42.0%   0.86   1.06
125-500 pips              125-500         1521   73.6%  +0.033R   41.9%   1.05   1.06
150-450 pips              150-450         1019   82.3%  +0.032R   42.0%   0.85   1.06
125-575 pips              125-575         1535   73.4%  +0.032R   42.0%   1.04   1.06
125-525 pips              125-525         1525   73.5%  +0.031R   41.9%   1.00   1.05
125-400 pips              125-400         1481   74.3%  +0.031R   41.9%   0.97   1.05
125-200 pips              125-200          981   83.0%  +0.031R   41.8%   0.79   1.05
125-425 pips              125-425         1494   74.1%  +0.030R   41.8%   0.96   1.05
125-475 pips              125-475         1512   73.8%  +0.029R   41.8%   0.93   1.05
150-325 pips              150-325          911   84.2%  +0.029R   41.8%   0.72   1.05
125-375 pips              125-375         1460   74.7%  +0.029R   41.8%   0.91   1.05
125-450 pips              125-450         1506   73.9%  +0.028R   41.8%   0.90   1.05
150-350 pips              150-350          950   83.5%  +0.028R   41.8%   0.70   1.05
125-325 pips              125-325         1398   75.8%  +0.026R   41.6%   0.79   1.04
125-350 pips              125-350         1437   75.1%  +0.025R   41.6%   0.77   1.04
Min 100 pips              100-9999        2223   61.4%  +0.019R   41.5%   0.75   1.03
125-250 pips              125-250         1214   78.9%  +0.019R   41.4%   0.55   1.03
150-250 pips              150-250          727   87.4%  +0.019R   41.4%   0.42   1.03
125-300 pips              125-300         1353   76.5%  +0.018R   41.3%   0.55   1.03
100-225 pips              100-225         1776   69.2%  +0.018R   41.4%   0.63   1.03
100-600 pips              100-600         2198   61.9%  +0.018R   41.4%   0.69   1.03
100-675 pips              100-675         2203   61.8%  +0.018R   41.4%   0.69   1.03
100-800 pips              100-800         2210   61.7%  +0.018R   41.4%   0.69   1.03
150-300 pips              150-300          866   85.0%  +0.017R   41.3%   0.42   1.03
100-625 pips              100-625         2202   61.8%  +0.017R   41.4%   0.67   1.03
100-650 pips              100-650         2202   61.8%  +0.017R   41.4%   0.67   1.03
100-725 pips              100-725         2209   61.7%  +0.017R   41.4%   0.67   1.03
100-750 pips              100-750         2209   61.7%  +0.017R   41.4%   0.67   1.03
100-775 pips              100-775         2209   61.7%  +0.017R   41.4%   0.67   1.03
100-700 pips              100-700         2207   61.7%  +0.017R   41.4%   0.66   1.03
100-550 pips              100-550         2186   62.1%  +0.017R   41.4%   0.65   1.03
100-500 pips              100-500         2177   62.2%  +0.016R   41.3%   0.60   1.03
100-575 pips              100-575         2191   62.0%  +0.016R   41.3%   0.60   1.03
100-525 pips              100-525         2181   62.2%  +0.015R   41.3%   0.57   1.03
100-400 pips              100-400         2137   62.9%  +0.014R   41.2%   0.54   1.02
100-425 pips              100-425         2150   62.7%  +0.014R   41.2%   0.53   1.02
100-475 pips              100-475         2168   62.4%  +0.013R   41.2%   0.51   1.02
100-375 pips              100-375         2116   63.3%  +0.013R   41.2%   0.48   1.02
100-450 pips              100-450         2162   62.5%  +0.013R   41.2%   0.48   1.02
125-275 pips              125-275         1305   77.4%  +0.012R   41.1%   0.36   1.02
100-325 pips              100-325         2054   64.4%  +0.010R   41.0%   0.37   1.02
100-350 pips              100-350         2093   63.7%  +0.010R   41.0%   0.36   1.02
Min 75 pips               75-9999         3255   43.5%  +0.009R   41.0%   0.43   1.02
100-200 pips              100-200         1637   71.6%  +0.009R   41.0%   0.30   1.02
75-600 pips               75-600          3230   44.0%  +0.008R   41.0%   0.38   1.01
75-675 pips               75-675          3235   43.9%  +0.008R   41.0%   0.38   1.01
75-800 pips               75-800          3242   43.8%  +0.008R   41.0%   0.38   1.01
150-275 pips              150-275          818   85.8%  +0.008R   41.0%   0.18   1.01
75-625 pips               75-625          3234   43.9%  +0.008R   41.0%   0.36   1.01
75-650 pips               75-650          3234   43.9%  +0.008R   41.0%   0.36   1.01
75-725 pips               75-725          3241   43.8%  +0.008R   41.0%   0.36   1.01
75-750 pips               75-750          3241   43.8%  +0.008R   41.0%   0.36   1.01
75-775 pips               75-775          3241   43.8%  +0.008R   41.0%   0.36   1.01
75-700 pips               75-700          3239   43.8%  +0.007R   41.0%   0.35   1.01
75-550 pips               75-550          3218   44.2%  +0.007R   41.0%   0.34   1.01
75-225 pips               75-225          2808   51.3%  +0.007R   40.9%   0.29   1.01
75-500 pips               75-500          3209   44.3%  +0.007R   40.9%   0.30   1.01
75-575 pips               75-575          3223   44.1%  +0.006R   40.9%   0.30   1.01
75-525 pips               75-525          3213   44.3%  +0.006R   40.9%   0.28   1.01
