pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
AUDUSD,3D,bearish,direct_touch,2005-01-14,2005-01-19,2005-01-21 09:00:00,2005-01-21 16:00:00,2005-01-26 17:00:00,5.041666666666667,0.7655,0.7698,0.7658,43.0,40.000000000000036,93.02325581395358,2,H1,0.7693,0.7753,0.7612,0.7753,1.349999999999998,60.00000000000005,80.99999999999996,sl,-60.00000000000005,-1.0,loss,63.99999999999961,69.00000000000017,1.6666666666666654
AUDCAD,3D,bearish,direct_touch,2005-02-01,2005-02-04,2005-02-04 14:00:00,2005-02-04 15:00:00,2005-02-07 15:00:00,3.0,0.96177,0.96567,0.96492,38.99999999999999,7.500000000000284,19.23076923076996,2,D,0.96418,0.97018,0.95787,0.97018,1.051666666666672,60.00000000000005,63.10000000000038,sl,-60.00000000000005,-1.0,loss,62.80000000000063,64.5999999999991,1.6666666666666654
EURAUD,3D,bullish,direct_touch,2005-02-01,2005-02-04,2005-02-04 11:00:00,2005-02-04 16:00:00,2005-02-07 01:00:00,2.375,1.68095,1.67335,1.67395,76.0,6.00000000000156,7.894736842107315,3,D,1.67355,1.66355,1.68855,1.66355,1.5,100.00000000000009,149.999999999999,sl,-100.00000000000009,-1.0,loss,36.49999999999931,101.50000000000102,0.9999999999999992
NZDJPY,3D,bullish,direct_touch,2005-02-01,2005-02-04,2005-02-07 00:00:00,2005-02-07 21:00:00,2005-02-08 14:00:00,0.7083333333333334,73.69,73.335,73.545,35.5,21.000000000000796,59.15492957746703,3,H1,73.375,72.775,74.045,74.045,1.11666666666668,59.99999999999943,67.00000000000017,tp,67.00000000000017,1.11666666666668,win,70.99999999999937,3.499999999999659,0.0166666666666668
GBPNZD,3D,bearish,direct_touch,2005-02-17,2005-02-22,2005-02-23 20:00:00,2005-02-23 20:00:00,2005-02-25 13:00:00,1.7083333333333333,2.64195,2.65625,2.64485,143.0,114.00000000000075,79.72027972028025,2,H1,2.64465,2.65768,2.62765,2.65768,1.3046815042210114,130.30000000000098,169.99999999999903,sl,-130.30000000000098,-1.0,loss,150.9999999999989,158.00000000000034,0.7674597083653051
GBPAUD,3D,bullish,direct_touch,2005-03-10,2005-03-15,2005-03-15 00:00:00,2005-03-15 19:00:00,2005-03-22 15:00:00,6.833333333333333,2.42705,2.41145,2.41645,155.99999999999997,50.000000000003375,32.05128205128422,3,H4,2.41835,2.40215,2.44265,2.40215,1.5,161.99999999999991,242.99999999999764,sl,-161.99999999999991,-1.0,loss,195.99999999999616,194.0000000000008,0.6172839506172842
EURUSD,3D,bullish,direct_touch,2005-03-15,2005-03-18,2005-03-18 01:00:00,2005-03-18 12:00:00,2005-03-21 11:00:00,2.9583333333333335,1.3369,1.32924,1.33356,76.6,43.20000000000101,56.39686684073239,4,D,1.32976,1.3198933333333334,1.34456,1.3198933333333334,1.5,98.6666666666669,147.99999999999923,sl,-98.6666666666669,-1.0,loss,29.90000000000048,108.8,1.0135135135135112
USDCHF,3D,bearish,direct_touch,2005-03-07,2005-03-10,2005-03-21 02:00:00,2005-03-21 11:00:00,2005-03-22 19:00:00,1.3333333333333333,1.1691,1.18395,1.17795,148.5,60.00000000000005,40.40404040404044,3,D,1.17585,1.19025,1.15425,1.19025,1.5,143.9999999999997,216.00000000000065,sl,-143.9999999999997,-1.0,loss,15.000000000000568,161.00000000000003,0.694444444444446
AUDCHF,3D,bearish,direct_touch,2005-03-07,2005-03-10,2005-03-18 14:00:00,2005-03-22 19:00:00,2005-04-18 08:00:00,26.541666666666668,0.92323,0.93288,0.92868,96.5,42.00000000000093,43.52331606217712,3,D,0.93262,0.9453133333333332,0.91358,0.91358,1.5,126.93333333333334,190.40000000000057,tp,190.40000000000057,1.5000000000000042,win,193.40000000000023,79.00000000000017,0.7878151260504201
EURNZD,3D,bullish,direct_touch,2005-03-23,2005-03-28,2005-04-13 00:00:00,2005-04-13 12:00:00,2005-04-14 09:00:00,0.875,1.7891,1.7803,1.7879,88.0,76.00000000000051,86.36363636363694,1,D,1.78205,1.7714833333333333,1.7978999999999998,1.7714833333333333,1.5,105.66666666666612,158.49999999999918,sl,-105.66666666666612,-1.0,loss,42.50000000000087,114.4999999999996,0.9463722397476388
