pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
CADJPY,M,bullish,direct_touch,2010-06-30 21:00:00,2010-08-01 21:00:00,2010-08-09 00:00:00,2010-08-11 09:00:00,2010-08-24 06:00:00,12.875,83.08,81.595,82.98,148.5,138.5000000000005,93.2659932659936,7,W,81.995,80.28166666666668,84.565,80.28166666666668,1.5,171.3333333333324,256.9999999999993,sl,-171.3333333333324,-1.0,loss,151.9999999999996,173.0000000000004,0.0058365758754864
EURUSD,M,bearish,direct_touch,2010-08-01 21:00:00,2010-08-31 21:00:00,2010-09-16 08:00:00,2010-09-22 00:00:00,2010-09-30 09:00:00,8.375,1.30533,1.33333,1.31041,280.0,229.19999999999828,81.85714285714225,11,3D,1.3307,1.36628,1.27733,1.36628,1.5,355.79999999999944,533.6999999999991,sl,-355.79999999999944,-1.0,loss,41.999999999999815,365.6999999999999,0.281056773468241
GBPUSD,M,bearish,direct_touch,2010-08-01 21:00:00,2010-08-31 21:00:00,2010-09-17 05:00:00,2010-10-07 11:00:00,2010-12-22 14:00:00,76.125,1.57037,1.59975,1.57205,293.8,277.00000000000057,94.28182437032014,11,3D,1.59935,1.6382566666666667,1.54099,1.54099,1.5,389.0666666666664,583.5999999999997,tp,583.5999999999997,1.5,win,617.3000000000006,304.5999999999993,0.2570253598355039
CADJPY,M,bearish,direct_touch,2010-11-30 22:00:00,2011-01-02 22:00:00,2011-01-03 00:00:00,2011-01-05 15:00:00,2011-03-16 21:00:00,70.25,81.516,84.187,83.122,267.09999999999997,106.49999999999976,39.872706851366445,15,W,83.667,86.88166666666667,78.845,78.845,1.5,321.4666666666673,482.2000000000003,tp,482.2000000000003,1.4999999999999978,win,637.1999999999999,193.80000000000024,0.0031107424305267
NZDCAD,M,bullish,direct_touch,2010-11-30 22:00:00,2011-01-02 22:00:00,2011-01-04 13:00:00,2011-01-07 12:00:00,2011-02-28 22:00:00,52.416666666666664,0.76133,0.73912,0.75687,222.1,177.50000000000043,79.9189554254842,16,3D,0.75137,0.7299233333333334,0.7835399999999999,0.7299233333333334,1.5,214.46666666666613,321.6999999999992,sl,-214.46666666666613,-1.0,loss,251.6000000000007,216.29999999999927,0.4662729250854845
AUDNZD,M,bearish,direct_touch,2011-01-02 22:00:00,2011-01-31 22:00:00,2011-02-03 11:00:00,2011-02-04 10:00:00,2011-02-25 20:00:00,21.416666666666668,1.3131,1.35171,1.32114,386.1,305.6999999999998,79.17637917637914,18,3D,1.31896,1.355571,1.27449,1.355571,1.2146622599765118,366.1099999999995,444.7000000000001,sl,-366.1099999999995,-1.0,loss,149.79999999999993,367.1000000000002,0.2731419518723884
AUDJPY,M,bearish,direct_touch,2011-01-02 22:00:00,2011-01-31 22:00:00,2011-02-03 09:00:00,2011-02-07 15:00:00,2011-02-24 07:00:00,16.666666666666668,82.799,83.677,83.368,87.8,30.90000000000117,35.19362186788288,13,W,83.589,84.701,81.921,81.921,1.5,111.19999999999948,166.79999999999922,tp,166.79999999999922,1.5,win,168.99999999999977,87.90000000000049,0.0089928057553957
GBPJPY,M,bearish,direct_touch,2010-08-01 21:00:00,2010-08-31 21:00:00,2011-04-01 15:00:00,2011-04-05 15:00:00,2011-04-18 14:00:00,12.958333333333334,135.595,137.775,137.55,218.0,22.49999999999943,10.32110091743093,3,W,137.665,140.4983333333333,133.415,133.415,1.5,283.3333333333343,425.0,tp,425.0,1.499999999999995,win,452.4000000000001,236.29999999999995,0.0035294117647058
AUDJPY,M,bearish,direct_touch,2010-05-02 21:00:00,2010-05-31 21:00:00,2011-04-01 03:00:00,2011-04-05 21:00:00,2011-04-08 07:00:00,2.4166666666666665,86.65,88.05,87.95,140.0,9.999999999999432,7.142857142856737,4,W,87.95,89.75,85.25,89.75,1.5,179.99999999999972,270.0000000000003,sl,-179.99999999999972,-1.0,loss,36.299999999999955,189.7999999999996,0.0055555555555555
EURAUD,M,bearish,direct_touch,2011-03-31 21:00:00,2011-05-01 21:00:00,2011-05-04 10:00:00,2011-05-04 15:00:00,2011-07-27 13:00:00,83.91666666666667,1.37028,1.43374,1.38758,634.6,461.59999999999974,72.73873306019536,22,W,1.37967,1.440086,1.30682,1.30682,1.205806408898306,604.1600000000002,728.5000000000008,tp,728.5000000000008,1.205806408898306,win,732.8999999999985,131.4000000000015,0.1655190677966101
