pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
AUDNZD,W,bearish,direct_touch,2005-01-31,2005-02-07,2005-02-07 00:00:00,2005-02-07 01:00:00,2005-02-07 16:00:00,0.625,1.08735,1.09225,1.0892,48.99999999999999,30.49999999999997,62.24489795918362,5,D,1.08995,1.09595,1.08245,1.09595,1.2499999999999722,60.00000000000005,74.9999999999984,sl,-60.00000000000005,-1.0,loss,19.499999999998963,66.50000000000044,1.6666666666666654
EURNZD,W,bullish,direct_touch,2005-03-07,2005-03-14,2005-03-15 12:00:00,2005-03-18 08:00:00,2005-03-24 11:00:00,6.125,1.8052,1.793,1.795,122.0,20.000000000000018,16.393442622950833,3,3D,1.795,1.780066666666667,1.8174,1.8174,1.5,149.33333333333243,223.99999999999977,tp,223.99999999999977,1.500000000000007,win,242.99999999999983,146.99999999999935,0.6696428571428612
USDCHF,W,bearish,direct_touch,2005-03-07,2005-03-14,2005-03-21 02:00:00,2005-03-21 11:00:00,2005-03-22 19:00:00,1.3333333333333333,1.1691,1.18395,1.17795,148.5,60.00000000000005,40.40404040404044,3,D,1.17585,1.19025,1.15425,1.19025,1.5,143.9999999999997,216.00000000000065,sl,-143.9999999999997,-1.0,loss,15.000000000000568,161.00000000000003,0.694444444444446
AUDCHF,W,bearish,direct_touch,2005-03-07,2005-03-14,2005-03-18 14:00:00,2005-03-22 19:00:00,2005-04-18 08:00:00,26.541666666666668,0.92323,0.93288,0.92868,96.5,42.00000000000093,43.52331606217712,3,D,0.93262,0.9453133333333332,0.91358,0.91358,1.5,126.93333333333334,190.40000000000057,tp,190.40000000000057,1.5000000000000042,win,193.40000000000023,79.00000000000017,0.7878151260504201
EURNZD,W,bullish,direct_touch,2005-03-21,2005-03-28,2005-04-12 13:00:00,2005-04-13 12:00:00,2005-04-15 14:00:00,2.0833333333333335,1.7918,1.7803,1.78415,115.0,38.49999999999909,33.47826086956442,1,D,1.78205,1.767883333333333,1.8033,1.8033,1.5,141.66666666666882,212.50000000000213,tp,212.50000000000213,1.4999999999999922,win,217.50000000000156,125.49999999999838,0.7058823529411657
NZDCAD,W,bearish,direct_touch,2005-03-21,2005-03-28,2005-04-13 03:00:00,2005-04-13 16:00:00,2005-04-14 22:00:00,1.25,0.89437,0.89811,0.89714,37.4,9.699999999999154,25.93582887700309,4,3D,0.89779,0.90379,0.89063,0.89063,1.193333333333323,60.00000000000005,71.59999999999944,tp,71.59999999999944,1.193333333333323,win,112.2999999999996,33.10000000000035,1.6666666666666654
NZDCHF,W,bearish,direct_touch,2005-03-21,2005-03-28,2005-04-12 13:00:00,2005-04-14 07:00:00,2005-04-18 01:00:00,3.75,0.86528,0.87386,0.86911,85.8,47.4999999999992,55.36130536130444,1,H1,0.8734,0.8845333333333333,0.8567,0.8567,1.5,111.33333333333329,166.99999999999935,tp,166.99999999999935,1.4999999999999951,win,169.39999999999955,66.4000000000009,0.8982035928143718
EURUSD,W,bullish,direct_touch,2005-04-04,2005-04-11,2005-04-12 13:00:00,2005-04-14 11:00:00,2005-04-18 08:00:00,3.875,1.28935,1.28012,1.28581,92.3,56.89999999999973,61.646803900324734,5,H4,1.28162,1.2703133333333332,1.29858,1.29858,1.5,113.06666666666796,169.60000000000085,tp,169.60000000000085,1.4999999999999902,win,171.60000000000062,49.600000000000755,0.8844339622641406
USDCHF,W,bearish,direct_touch,2005-04-04,2005-04-11,2005-04-12 14:00:00,2005-04-14 11:00:00,2005-04-18 07:00:00,3.8333333333333335,1.2044,1.21465,1.2085,102.5,61.500000000000995,60.00000000000097,7,3D,1.21275,1.2251500000000002,1.1941499999999998,1.1941499999999998,1.5,124.00000000000188,186.0000000000017,tp,186.0000000000017,1.4999999999999911,win,220.0000000000002,69.99999999999895,0.8064516129032135
NZDCAD,W,bearish,direct_touch,2005-03-07,2005-03-14,2005-04-20 17:00:00,2005-04-25 06:00:00,2005-04-29 09:00:00,4.125,0.90318,0.91021,0.90756,70.3,26.4999999999993,37.69559032716828,4,D,0.90748,0.9150333333333333,0.89615,0.9150333333333333,1.5,75.533333333333,113.2999999999995,sl,-75.533333333333,-1.0,loss,104.19999999999985,116.40000000000094,1.3239187996469606
NZDJPY,W,bullish,direct_touch,2005-04-18,2005-04-25,2005-04-25 13:00:00,2005-04-25 14:00:00,2005-04-27 15:00:00,2.0416666666666665,77.135,76.695,77.035,44.0,34.00000000000034,77.27272727272805,2,H1,76.975,76.375,77.575,76.375,1.0000000000000238,59.99999999999943,60.00000000000085,sl,-59.99999999999943,-1.0,loss,31.000000000000227,66.99999999999875,0.0166666666666668
USDCHF,W,bearish,direct_touch,2005-04-18,2005-04-25,2005-05-02 14:00:00,2005-05-12 12:00:00,2005-05-31 01:00:00,18.541666666666668,1.2009,1.21975,1.20425,188.49999999999997,154.9999999999985,82.22811671087452,3,D,1.217,1.2403000000000002,1.18205,1.2403000000000002,1.5,233.00000000000097,349.50000000000034,sl,-233.00000000000097,-1.0,loss,68.50000000000023,311.5000000000001,0.4291845493562213
NZDJPY,W,bullish,direct_touch,2005-05-02,2005-05-09,2005-05-12 06:00:00,2005-05-16 02:00:00,2005-05-27 18:00:00,11.666666666666666,76.685,76.08,76.085,60.5,0.4999999999995452,0.8264462809909839,4,3D,76.125,75.34833333333333,77.29,77.29,1.5,77.66666666666708,116.50000000000064,tp,116.50000000000064,1.5,win,117.00000000000016,77.50000000000057,0.0128755364806866
NZDJPY,W,bullish,direct_touch,2005-03-28,2005-04-04,2005-05-16 06:00:00,2005-05-16 16:00:00,2005-05-18 16:00:00,2.0,75.955,75.52,75.665,43.5,14.500000000001023,33.33333333333569,1,D,75.525,74.92500000000001,76.39,76.39,1.4416666666666718,59.99999999999943,86.49999999999949,tp,86.49999999999949,1.4416666666666718,win,92.99999999999926,17.500000000001137,0.0166666666666668
CADCHF,W,bearish,direct_touch,2005-05-09,2005-05-16,2005-05-20 00:00:00,2005-05-20 11:00:00,2005-05-27 16:00:00,7.208333333333333,0.97172,0.97656,0.97371,48.39999999999999,28.500000000000192,58.884297520661555,2,H1,0.97551,0.98151,0.96688,0.98151,1.438333333333318,60.00000000000005,86.29999999999914,sl,-60.00000000000005,-1.0,loss,68.00000000000028,78.70000000000043,1.6666666666666654
EURUSD,W,bullish,direct_touch,2005-05-23,2005-05-30,2005-05-30 00:00:00,2005-05-30 00:00:00,2005-05-31 01:00:00,1.0416666666666667,1.25515,1.24961,1.25361,55.4,39.99999999999781,72.20216606497802,1,H4,1.2511,1.2447066666666668,1.26069,1.2447066666666668,1.5,63.933333333332506,95.89999999999986,sl,-63.933333333332506,-1.0,loss,34.999999999998366,140.70000000000027,1.564129301355599
EURNZD,W,bullish,direct_touch,2005-05-09,2005-05-16,2005-05-30 11:00:00,2005-05-30 11:00:00,2005-05-30 23:00:00,0.5,1.7505,1.7455,1.7479,50.0,23.999999999999577,47.999999999999154,1,H1,1.7486,1.7426,1.7554999999999998,1.7554999999999998,1.1499999999999833,60.00000000000005,68.99999999999906,tp,68.99999999999906,1.1499999999999837,win,95.50000000000168,1.9999999999997795,1.6666666666666654
NZDJPY,W,bullish,direct_touch,2005-05-16,2005-05-23,2005-05-23 07:00:00,2005-06-03 16:00:00,2005-06-14 00:00:00,10.333333333333334,76.415,75.35,76.25,106.5,90.00000000000057,84.50704225352167,10,3D,75.37,73.96333333333334,77.48,77.48,1.5,140.66666666666663,210.99999999999991,tp,210.99999999999991,1.5,win,218.50000000000023,13.500000000000512,0.0071090047393364
NZDCHF,W,bearish,direct_touch,2005-05-30,2005-06-06,2005-06-06 05:00:00,2005-06-06 13:00:00,2005-06-07 06:00:00,0.7083333333333334,0.87974,0.88378,0.88269,40.4,10.900000000000354,26.980198019802852,4,D,0.88324,0.88924,0.8756999999999999,0.88924,1.2566666666666826,60.00000000000005,75.40000000000101,sl,-60.00000000000005,-1.0,loss,11.8000000000007,64.4,1.6666666666666654
USDCHF,W,bearish,direct_touch,2005-06-13,2005-06-20,2005-06-20 13:00:00,2005-06-23 12:00:00,2005-07-01 14:00:00,8.083333333333334,1.2693,1.27935,1.26995,100.5,94.00000000000074,93.53233830845846,6,3D,1.27925,1.2925833333333332,1.2592500000000002,1.2925833333333332,1.5,133.33333333333198,199.99999999999795,sl,-133.33333333333198,-1.0,loss,132.000000000001,175.49999999999957,0.7500000000000077
GBPAUD,W,bullish,direct_touch,2005-06-20,2005-06-27,2005-06-30 20:00:00,2005-07-01 08:00:00,2005-07-05 09:00:00,4.041666666666667,2.3497,2.33635,2.34475,133.5,83.99999999999963,62.92134831460646,6,3D,2.33885,2.3227166666666665,2.36305,2.36305,1.5,161.33333333333331,241.99999999999997,tp,241.99999999999997,1.5,win,268.00000000000153,27.999999999996916,0.6198347107438018
AUDUSD,W,bullish,direct_touch,2005-06-06,2005-06-13,2005-07-01 12:00:00,2005-07-03 22:00:00,2005-07-06 23:00:00,3.0416666666666665,0.7558,0.7476,0.7553,82.0,76.99999999999929,93.90243902438937,9,3D,0.7485,0.7381666666666667,0.764,0.7381666666666667,1.5,103.33333333333304,154.99999999999957,sl,-103.33333333333304,-1.0,loss,35.99999999999937,104.00000000000075,0.9677419354838735
USDCHF,W,bearish,direct_touch,2005-07-11,2005-07-18,2005-07-19 04:00:00,2005-07-19 05:00:00,2005-07-20 17:00:00,1.5,1.2993,1.3076,1.30075,83.0,68.50000000000023,82.53012048192798,2,H4,1.30065,1.3084300000000002,1.291,1.291,1.2403598971722378,77.80000000000119,96.50000000000158,tp,96.50000000000158,1.2403598971722378,win,130.00000000000122,74.9999999999984,1.2853470437017798
