pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
AUDCHF,3D,bearish,direct_touch,2010-01-11 02:03:00,2010-01-14 00:44:00,2010-01-15 00:00:00,2010-01-15 09:00:00,2010-01-21 20:00:00,6.458333333333333,0.9465,0.95022,0.9482,37.2,20.199999999999108,54.3010752688148,2,H1,0.95013,0.95613,0.94278,0.94278,1.2249999999999934,60.00000000000005,73.49999999999967,tp,73.49999999999967,1.2249999999999934,win,100.29999999999984,55.69999999999963,1.6666666666666654
EURCAD,3D,bullish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:00:00,2010-01-15 01:00:00,2010-01-15 13:00:00,2010-01-22 12:00:00,6.958333333333333,1.48045,1.4733,1.4772,71.5,39.00000000000014,54.54545454545475,1,H1,1.4737,1.4644333333333333,1.4876,1.4876,1.5,92.66666666666757,139.00000000000023,tp,139.00000000000023,1.499999999999988,win,156.4999999999994,72.00000000000095,1.0791366906474718
GBPCAD,3D,bearish,direct_touch,2010-01-14 00:03:00,2010-01-17 22:00:00,2010-01-18 07:00:00,2010-01-18 09:00:00,2010-01-18 13:00:00,0.1666666666666666,1.6785,1.6842,1.6806,57.0,35.99999999999825,63.15789473683904,1,H1,1.6805,1.6865,1.6728,1.6728,1.283333333333339,60.00000000000005,77.0000000000004,tp,77.0000000000004,1.283333333333339,win,83.00000000000196,1.9999999999997795,1.6666666666666654
CADCHF,3D,bearish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:04:00,2010-01-15 08:00:00,2010-01-19 13:00:00,2010-01-21 20:00:00,2.2916666666666665,0.99876,1.00475,1.0033,59.89999999999999,14.499999999999512,24.207011686142764,1,H1,1.00401,1.0115033333333334,0.99277,0.99277,1.5,74.93333333333351,112.40000000000138,tp,112.40000000000138,1.5000000000000149,win,136.10000000000122,1.8999999999991248,1.3345195729537336
USDCHF,3D,bearish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:00:00,2010-01-19 12:00:00,2010-01-20 01:00:00,2010-01-20 13:00:00,0.5,1.03375,1.03845,1.03795,47.0,5.00000000000167,10.638297872343978,1,H1,1.0384,1.0446333333333333,1.02905,1.0446333333333333,1.5,62.33333333333313,93.49999999999967,sl,-62.33333333333313,-1.0,loss,58.00000000000027,66.99999999999928,1.6042780748663157
NZDUSD,3D,bullish,direct_touch,2010-01-08 00:00:00,2010-01-11 00:00:00,2010-01-20 01:00:00,2010-01-20 02:00:00,2010-01-20 10:00:00,0.3333333333333333,0.7324,0.7286,0.73025,38.0,16.499999999999293,43.42105263157709,1,H1,0.7289,0.7229,0.7362000000000001,0.7229,1.2166666666666797,60.00000000000005,73.00000000000084,sl,-60.00000000000005,-1.0,loss,21.999999999999797,86.50000000000045,1.6666666666666654
EURCHF,3D,bullish,direct_touch,2010-01-11 00:00:00,2010-01-14 00:00:00,2010-01-14 18:00:00,2010-01-20 17:00:00,2010-01-29 00:00:00,8.291666666666666,1.47585,1.4723,1.4742,35.5,19.000000000000128,53.52112676056374,3,H1,1.47295,1.46695,1.4794,1.46695,1.0750000000000102,60.00000000000005,64.50000000000067,sl,-60.00000000000005,-1.0,loss,16.499999999999293,63.99999999999961,1.6666666666666654
GBPJPY,3D,bullish,direct_touch,2010-01-11 00:00:00,2010-01-14 00:00:00,2010-01-14 13:00:00,2010-01-21 16:00:00,2010-01-26 10:00:00,4.75,148.575,146.65,148.055,192.5,140.5000000000001,72.98701298701305,3,D,146.705,144.175,150.5,144.175,1.5,253.0000000000001,379.4999999999987,sl,-253.0000000000001,-1.0,loss,78.9999999999992,263.0000000000024,0.0039525691699604
CHFJPY,3D,bullish,direct_touch,2010-01-24 22:00:00,2010-01-26 00:00:00,2010-01-26 02:00:00,2010-01-26 03:00:00,2010-01-26 14:00:00,0.4583333333333333,86.74,86.105,86.265,63.5,15.99999999999966,25.19685039370025,1,H1,86.315,85.60833333333333,87.375,85.60833333333333,1.5,70.66666666666634,106.00000000000024,sl,-70.66666666666634,-1.0,loss,41.500000000000625,82.50000000000028,0.0141509433962264
AUDNZD,3D,bearish,direct_touch,2010-01-24 22:00:00,2010-01-26 00:00:00,2010-01-26 09:00:00,2010-01-26 12:00:00,2010-01-27 01:00:00,0.5416666666666666,1.26805,1.27205,1.27055,40.0,14.999999999998348,37.49999999999587,2,H4,1.27025,1.27625,1.26405,1.27625,1.0333333333333667,60.00000000000005,62.00000000000205,sl,-60.00000000000005,-1.0,loss,29.000000000001247,60.99999999999994,1.6666666666666654
USDCHF,3D,bearish,direct_touch,2010-02-01 00:00:00,2010-02-04 00:00:00,2010-02-04 01:00:00,2010-02-04 08:00:00,2010-02-05 00:00:00,0.6666666666666666,1.0602,1.06425,1.0623,40.49999999999999,19.499999999998963,48.148148148145594,2,H4,1.0623,1.0683,1.05615,1.0683,1.0250000000000157,60.00000000000005,61.500000000000995,sl,-60.00000000000005,-1.0,loss,24.999999999999467,70.99999999999883,1.6666666666666654
GBPJPY,3D,bullish,direct_touch,2010-02-01 00:00:00,2010-02-04 00:00:00,2010-02-04 08:00:00,2010-02-04 14:00:00,2010-02-04 16:00:00,0.0833333333333333,144.14,143.055,143.27,108.5,21.50000000000034,19.81566820276529,1,H1,143.08,141.65000000000003,145.225,141.65000000000003,1.5,142.99999999999784,214.49999999999815,sl,-142.99999999999784,-1.0,loss,51.49999999999864,375.0,0.006993006993007
NZDCHF,3D,bullish,direct_touch,2010-01-29 00:00:00,2010-02-01 00:09:00,2010-02-04 00:00:00,2010-02-04 15:00:00,2010-02-05 01:00:00,0.4166666666666667,0.74107,0.7358,0.73879,52.7,29.89999999999937,56.73624288424928,3,H4,0.7366,0.7301066666666667,0.74634,0.7301066666666667,1.5,64.93333333333351,97.39999999999972,sl,-64.93333333333351,-1.0,loss,-5.00000000000056,66.0000000000005,1.5400410677618028
CHFJPY,3D,bullish,direct_touch,2010-02-01 00:00:00,2010-02-04 00:00:00,2010-02-04 15:00:00,2010-02-04 16:00:00,2010-02-04 17:00:00,0.0416666666666666,85.1,84.715,84.765,38.5,4.999999999999716,12.987012987012248,1,H1,84.805,84.20500000000001,85.485,84.20500000000001,1.1333333333333315,59.99999999999943,67.99999999999926,sl,-59.99999999999943,-1.0,loss,14.499999999999602,186.5000000000009,0.0166666666666668
EURCHF,3D,bullish,direct_touch,2010-01-29 00:00:00,2010-02-01 00:00:00,2010-02-04 10:00:00,2010-02-04 19:00:00,2010-02-05 01:00:00,0.25,1.469,1.46355,1.46895,54.5,54.00000000000071,99.08256880734076,2,H4,1.46455,1.45795,1.47445,1.45795,1.5,65.99999999999939,99.0000000000002,sl,-65.99999999999939,-1.0,loss,9.9999999999989,88.50000000000024,1.5151515151515291
AUDNZD,3D,bearish,direct_touch,2010-02-04 00:00:00,2010-02-07 22:00:00,2010-02-08 12:00:00,2010-02-08 20:00:00,2010-02-11 01:00:00,2.2083333333333335,1.26225,1.2663,1.2639,40.49999999999999,23.999999999999577,59.25925925925822,3,H4,1.2654,1.2714,1.2582,1.2714,1.2000000000000148,60.00000000000005,72.00000000000095,sl,-60.00000000000005,-1.0,loss,52.00000000000093,67.49999999999811,1.6666666666666654
EURAUD,3D,bullish,direct_touch,2010-01-20 00:00:00,2010-01-24 22:00:00,2010-02-11 08:00:00,2010-02-11 14:00:00,2010-02-11 16:00:00,0.0833333333333333,1.54755,1.5417,1.5429,58.5,11.999999999998678,20.51282051281825,1,H1,1.54215,1.5346499999999998,1.5534,1.5346499999999998,1.5,75.00000000000061,112.49999999999982,sl,-75.00000000000061,-1.0,loss,27.500000000000306,84.49999999999847,1.3333333333333226
EURNZD,3D,bullish,direct_touch,2010-02-01 00:00:00,2010-02-04 00:00:00,2010-02-11 00:00:00,2010-02-11 14:00:00,2010-02-16 05:00:00,4.625,1.97232,1.95595,1.96626,163.7,103.0999999999982,62.98106291997446,4,D,1.95887,1.93899,1.98869,1.93899,1.5,198.8000000000012,298.2000000000018,sl,-198.8000000000012,-1.0,loss,69.00000000000128,221.699999999998,0.5030181086519085
EURUSD,3D,bullish,direct_touch,2010-02-07 22:00:00,2010-02-10 00:00:00,2010-02-11 14:00:00,2010-02-11 16:00:00,2010-02-16 16:00:00,5.0,1.36553,1.35816,1.36195,73.69999999999999,37.8999999999996,51.424694708276256,2,H4,1.35932,1.3502666666666667,1.3729,1.3729,1.5,90.53333333333356,135.79999999999924,tp,135.79999999999924,1.4999999999999878,win,159.29999999999998,65.60000000000122,1.1045655375552257
EURCHF,3D,bullish,direct_touch,2010-02-07 22:00:00,2010-02-10 00:00:00,2010-02-10 02:00:00,2010-02-12 01:00:00,2010-03-15 09:00:00,31.333333333333332,1.4678,1.4557,1.4644,121.0,86.99999999999929,71.90082644628042,1,D,1.46445,1.45415,1.4799,1.45415,1.5,102.99999999999976,154.49999999999963,sl,-102.99999999999976,-1.0,loss,57.49999999999922,106.99999999999932,0.9708737864077692
USDCHF,3D,bearish,direct_touch,2010-02-07 22:00:00,2010-02-10 00:00:00,2010-02-11 14:00:00,2010-02-12 08:00:00,2010-02-16 16:00:00,4.333333333333333,1.07445,1.0795,1.07725,50.49999999999999,22.499999999998632,44.55445544554185,3,H4,1.0789,1.0852333333333333,1.0694,1.0694,1.5,63.333333333333016,95.00000000000064,tp,95.00000000000064,1.5000000000000175,win,115.00000000000064,38.000000000000256,1.5789473684210606
CHFJPY,3D,bullish,direct_touch,2010-02-07 22:00:00,2010-02-10 00:00:00,2010-02-11 16:00:00,2010-02-12 10:00:00,2010-02-16 15:00:00,4.208333333333333,83.255,82.325,82.85,93.0,52.49999999999915,56.45161290322489,2,D,82.995,82.20166666666667,84.185,84.185,1.5,79.33333333333366,118.99999999999976,tp,118.99999999999976,1.4999999999999911,win,134.4999999999999,16.500000000000625,0.0126050420168066
EURNZD,3D,bullish,direct_touch,2010-01-20 00:00:00,2010-01-24 22:00:00,2010-02-15 20:00:00,2010-02-17 19:00:00,2010-02-24 08:00:00,6.541666666666667,1.94565,1.92987,1.94138,157.79999999999998,115.1000000000013,72.94043092522263,2,H4,1.93117,1.910996666666667,1.96143,1.96143,1.5,201.73333333333375,302.5999999999995,tp,302.5999999999995,1.4999999999999944,win,338.30000000000024,65.69999999999965,0.495703899537342
USDJPY,3D,bearish,direct_touch,2010-02-04 00:00:00,2010-02-07 22:00:00,2010-02-17 12:00:00,2010-02-17 19:00:00,2010-02-18 22:00:00,1.125,90.85,91.275,91.075,42.5,20.000000000000284,47.05882352941243,3,H4,91.23,91.83,90.425,91.83,1.3416666666666908,59.99999999999943,80.50000000000068,sl,-59.99999999999943,-1.0,loss,66.00000000000108,81.99999999999932,0.0166666666666668
