pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots
NZDCHF,W,bullish,direct_touch,2010-01-25 22:13:00,2010-02-01 22:13:00,2010-02-04 00:00:00,2010-02-04 15:00:00,2010-02-11 17:00:00,7.083333333333333,0.7424,0.7358,0.73755,66.0,17.50000000000029,26.515151515151956,2,H4,0.7366,0.7283333333333334,0.749,0.749,1.5,82.66666666666644,123.99999999999966,tp,123.99999999999966,1.5,win,145.99999999999946,66.0000000000005,1.209677419354842
EURCAD,W,bullish,direct_touch,2010-01-18 22:00:00,2010-01-25 22:00:00,2010-02-02 03:00:00,2010-02-05 01:00:00,2010-02-10 19:00:00,5.75,1.47555,1.4665,1.4719,90.5,54.00000000000071,59.6685082872936,2,H4,1.4678,1.4566,1.4846,1.4566,1.5,111.99999999999876,167.99999999999926,sl,-111.99999999999876,-1.0,loss,92.00000000000097,118.00000000000033,0.8928571428571527
GBPAUD,W,bullish,direct_touch,2010-02-01 22:00:00,2010-02-08 22:00:00,2010-02-09 08:00:00,2010-02-09 09:00:00,2010-02-10 10:00:00,1.0416666666666667,1.78955,1.78378,1.78789,57.7,41.10000000000058,71.23050259965439,4,D,1.78833,1.78233,1.79532,1.79532,1.1650000000000076,60.00000000000005,69.90000000000052,tp,69.90000000000052,1.1650000000000076,win,90.39999999999937,53.7999999999994,1.6666666666666654
EURAUD,W,bullish,direct_touch,2010-02-01 22:00:00,2010-02-08 22:00:00,2010-02-11 00:00:00,2010-02-11 00:00:00,2010-02-11 08:00:00,0.3333333333333333,1.5628,1.54975,1.559,130.5,92.4999999999998,70.8812260536397,2,D,1.5612,1.548445,1.57585,1.548445,1.148569188553526,127.54999999999848,146.5000000000005,sl,-127.54999999999848,-1.0,loss,70.5,140.49999999999895,0.7840062720501857
AUDCHF,W,bearish,direct_touch,2010-02-01 22:13:00,2010-02-08 22:08:00,2010-02-11 01:00:00,2010-02-11 01:00:00,2010-02-11 11:00:00,0.4166666666666667,0.9409,0.9475,0.9427,66.0,48.00000000000026,72.72727272727313,3,D,0.9425,0.9485,0.9343,0.9485,1.3666666666666816,60.00000000000005,82.00000000000095,sl,-60.00000000000005,-1.0,loss,5.00000000000056,62.99999999999972,1.6666666666666654
EURNZD,W,bullish,direct_touch,2010-02-01 22:00:00,2010-02-08 22:00:00,2010-02-11 08:00:00,2010-02-11 13:00:00,2010-02-11 16:00:00,0.125,1.96518,1.95595,1.9617,92.3,57.49999999999922,62.29685807150511,2,H4,1.96038,1.951026666666667,1.97441,1.951026666666667,1.5,93.53333333333325,140.29999999999987,sl,-93.53333333333325,-1.0,loss,34.49999999999953,145.50000000000065,1.0691375623663588
AUDCHF,W,bearish,direct_touch,2010-01-18 22:02:00,2010-01-25 22:02:00,2010-02-11 12:00:00,2010-02-12 08:00:00,2010-02-16 13:00:00,4.208333333333333,0.9491,0.9557,0.95111,66.0,45.89999999999983,69.54545454545429,3,3D,0.955,0.9633333333333332,0.9425,0.9633333333333332,1.5,83.33333333333303,124.99999999999956,sl,-83.33333333333303,-1.0,loss,71.39999999999924,96.00000000000053,1.2000000000000044
EURNZD,W,bullish,direct_touch,2010-01-18 22:00:00,2010-01-25 22:00:00,2010-02-16 04:00:00,2010-02-17 19:00:00,2010-02-24 08:00:00,6.541666666666667,1.94464,1.92987,1.94238,147.7,125.1000000000002,84.69871360866635,2,H4,1.93117,1.9123433333333335,1.95941,1.95941,1.5,188.26666666666543,282.3999999999982,tp,282.3999999999982,1.5000000000000002,win,338.30000000000024,65.69999999999965,0.531161473087822
USDJPY,W,bearish,direct_touch,2010-02-01 22:00:00,2010-02-08 22:00:00,2010-02-17 09:00:00,2010-02-17 19:00:00,2010-02-19 16:00:00,1.875,90.605,91.275,90.945,67.0,33.00000000000125,49.253731343285445,3,H4,91.23,92.09333333333332,89.935,92.09333333333332,1.5,86.33333333333297,129.50000000000017,sl,-86.33333333333297,-1.0,loss,66.00000000000108,91.4999999999992,0.0115830115830116
GBPAUD,W,bullish,direct_touch,2010-01-11 22:00:00,2010-01-18 22:00:00,2010-02-18 19:00:00,2010-02-19 08:00:00,2010-02-21 22:00:00,2.5833333333333335,1.73262,1.72523,1.72925,73.89999999999999,40.19999999999912,54.39783491204212,3,3D,1.72541,1.7156766666666667,1.74001,1.7156766666666667,1.5,97.33333333333373,145.99999999999946,sl,-97.33333333333373,-1.0,loss,72.39999999999912,102.60000000000156,1.0273972602739687
GBPCHF,W,bullish,direct_touch,2010-02-08 22:00:00,2010-02-15 22:00:00,2010-02-19 08:00:00,2010-02-21 22:00:00,2010-02-26 01:00:00,4.125,1.6726,1.65915,1.6682,134.5,90.5,67.28624535315987,2,H4,1.66165,1.6453833333333334,1.68605,1.6453833333333334,1.5,162.66666666666652,243.99999999999977,sl,-162.66666666666652,-1.0,loss,118.49999999999916,165.0000000000018,0.6147540983606563
