trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
2,AUDCHF,3D,bearish,2004-06-06 00:00:00+00:00,2004-06-09 00:00:00+00:00,0.86292,0.8271000000000002,0.88083,0.87486,0.86292,2004-07-03 00:00:00+00:00,0.88083,sl,-179.09999999999982,-1.0,-1.0,closed
3,AUDCHF,3D,bullish,2004-06-09 00:00:00+00:00,2004-06-12 00:00:00+00:00,0.8684,0.8764099999999998,0.864395,0.8684,0.86573,2004-06-15 00:00:00+00:00,0.864395,sl,-40.04999999999925,-1.0,-1.0,closed
1,AUDCHF,3D,bullish,2004-06-03 00:00:00+00:00,2004-06-15 00:00:00+00:00,0.86222,0.8661199999999999,0.8602700000000001,0.86222,0.86092,2004-06-18 00:00:00+00:00,0.8602700000000001,sl,-19.499999999998963,-1.0,-1.0,closed
4,AUDCHF,3D,bearish,2004-06-12 00:00:00+00:00,2004-06-15 00:00:00+00:00,0.87169,0.8685099999999998,0.8732800000000001,0.87275,0.87169,2004-06-18 00:00:00+00:00,0.8685099999999998,tp,31.800000000001827,2.0,2.0,closed
1003,AUDCHF,W,bearish,2004-06-11 21:00:00+00:00,2004-06-18 21:00:00+00:00,0.87169,0.86218,0.8764449999999999,0.87486,0.87169,2004-06-25 21:00:00+00:00,0.8764449999999999,sl,-47.549999999999535,-1.0,-1.0,closed
6,AUDCHF,3D,bearish,2004-06-24 00:00:00+00:00,2004-06-27 00:00:00+00:00,0.87096,0.8630699999999999,0.874905,0.87359,0.87096,2004-06-30 00:00:00+00:00,0.874905,sl,-39.45000000000087,-1.0,-1.0,closed
8,AUDCHF,3D,bearish,2004-07-06 00:00:00+00:00,2004-07-09 00:00:00+00:00,0.8821,0.86659,0.8898550000000001,0.88727,0.8821,2004-07-12 00:00:00+00:00,0.8898550000000001,sl,-77.55000000000068,-1.0,-1.0,closed
10,AUDCHF,3D,bearish,2004-07-12 00:00:00+00:00,2004-07-18 00:00:00+00:00,0.89099,0.8754199999999999,0.898775,0.89618,0.89099,2004-07-21 00:00:00+00:00,0.898775,sl,-77.85000000000042,-1.0,-1.0,closed
11,AUDCHF,3D,bullish,2004-07-15 00:00:00+00:00,2004-07-18 00:00:00+00:00,0.8971,0.9189999999999999,0.88615,0.8971,0.8898,2004-09-01 00:00:00+00:00,0.88615,sl,-109.50000000000016,-1.0,-1.0,closed
12,AUDCHF,3D,bearish,2004-07-18 00:00:00+00:00,2004-07-21 00:00:00+00:00,0.89742,0.8733900000000001,0.909435,0.90543,0.89742,2004-09-07 00:00:00+00:00,0.8733900000000001,tp,240.29999999999885,1.9999999999999907,1.9999999999999907,closed
13,AUDCHF,3D,bullish,2004-07-21 00:00:00+00:00,2004-07-24 00:00:00+00:00,0.89401,0.8982999999999998,0.8918650000000001,0.89401,0.89258,2004-07-27 00:00:00+00:00,0.8982999999999998,tp,42.89999999999794,2.0000000000000515,2.0000000000000515,closed
14,AUDCHF,3D,bearish,2004-07-24 00:00:00+00:00,2004-07-27 00:00:00+00:00,0.89799,0.8945999999999997,0.8996850000000001,0.89912,0.89799,2004-07-30 00:00:00+00:00,0.8996850000000001,sl,-16.950000000001133,-1.0,-1.0,closed
1005,AUDCHF,W,bearish,2004-07-30 21:00:00+00:00,2004-08-06 21:00:00+00:00,0.8981,0.8811499999999999,0.9065750000000001,0.90375,0.8981,2004-08-27 21:00:00+00:00,0.8811499999999999,tp,169.5000000000013,1.999999999999987,1.999999999999987,closed
16,AUDCHF,3D,bullish,2004-08-05 00:00:00+00:00,2004-08-08 00:00:00+00:00,0.89746,0.9119800000000002,0.8901999999999999,0.89746,0.89262,2004-08-11 00:00:00+00:00,0.8901999999999999,sl,-72.60000000000156,-1.0,-1.0,closed
15,AUDCHF,3D,bearish,2004-08-02 00:00:00+00:00,2004-08-08 00:00:00+00:00,0.89993,0.8884699999999999,0.9056600000000001,0.90375,0.89993,2004-08-11 00:00:00+00:00,0.8884699999999999,tp,114.60000000000137,1.9999999999999807,1.9999999999999807,closed
17,AUDCHF,3D,bearish,2004-08-11 00:00:00+00:00,2004-08-17 00:00:00+00:00,0.89779,0.8845599999999999,0.904405,0.9022,0.89779,2004-08-20 00:00:00+00:00,0.904405,sl,-66.15000000000038,-1.0,-1.0,closed
19,AUDCHF,3D,bearish,2004-08-23 00:00:00+00:00,2004-08-26 00:00:00+00:00,0.89674,0.86908,0.91057,0.90596,0.89674,2004-09-07 00:00:00+00:00,0.86908,tp,276.6000000000002,2.0,2.0,closed
