trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
3,AUDJPY,3D,bullish,2004-06-18 00:00:00+00:00,2004-06-21 00:00:00+00:00,74.995,75.61,74.6875,74.995,74.79,2004-06-27 00:00:00+00:00,75.61,tp,61.49999999999949,1.9999999999999538,1.9999999999999538,closed
981,AUDJPY,W,bullish,2004-06-18 21:00:00+00:00,2004-06-25 21:00:00+00:00,74.995,76.01500000000001,74.485,74.995,74.655,2004-07-02 21:00:00+00:00,76.01500000000001,tp,102.00000000000102,2.0,2.0,closed
2,AUDJPY,3D,bearish,2004-06-15 00:00:00+00:00,2004-06-27 00:00:00+00:00,75.895,74.395,76.645,76.395,75.895,2004-06-30 00:00:00+00:00,76.645,sl,-75.0,-1.0,-1.0,closed
5,AUDJPY,3D,bearish,2004-07-06 00:00:00+00:00,2004-07-09 00:00:00+00:00,78.075,76.62,78.80250000000001,78.56,78.075,2004-07-12 00:00:00+00:00,78.80250000000001,sl,-72.75000000000063,-1.0,-1.0,closed
7,AUDJPY,3D,bullish,2004-07-27 00:00:00+00:00,2004-07-30 00:00:00+00:00,78.14,79.82000000000001,77.3,78.14,77.58,2004-08-23 00:00:00+00:00,77.3,sl,-84.00000000000034,-1.0,-1.0,closed
982,AUDJPY,W,bullish,2004-07-23 21:00:00+00:00,2004-07-30 21:00:00+00:00,78.145,79.83999999999999,77.2975,78.145,77.58,2004-08-20 21:00:00+00:00,77.2975,sl,-84.74999999999966,-1.0,-1.0,closed
8,AUDJPY,3D,bearish,2004-07-30 00:00:00+00:00,2004-08-02 00:00:00+00:00,78.155,77.57000000000002,78.44749999999999,78.35,78.155,2004-08-05 00:00:00+00:00,78.44749999999999,sl,-29.249999999998977,-1.0,-1.0,closed
6,AUDJPY,3D,bearish,2004-07-18 00:00:00+00:00,2004-08-08 00:00:00+00:00,79.24,78.08499999999998,79.8175,79.625,79.24,2004-08-23 00:00:00+00:00,78.08499999999998,tp,115.50000000000153,2.0000000000000244,2.0000000000000244,closed
10,AUDJPY,3D,bearish,2004-08-14 00:00:00+00:00,2004-08-17 00:00:00+00:00,78.975,77.77499999999998,79.575,79.375,78.975,2004-08-23 00:00:00+00:00,77.77499999999998,tp,120.0000000000017,2.0,2.0,closed
11,AUDJPY,3D,bullish,2004-08-17 00:00:00+00:00,2004-08-20 00:00:00+00:00,78.76,80.23000000000003,78.02499999999999,78.76,78.27,2004-08-23 00:00:00+00:00,78.02499999999999,sl,-73.50000000000136,-1.0,-1.0,closed
