trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
2,AUDUSD,3D,bearish,2002-05-21 00:00:00+00:00,2002-05-24 00:00:00+00:00,0.5567,0.54995,0.5600749999999999,0.55895,0.5567,2002-05-27 00:00:00+00:00,0.5600749999999999,sl,-33.74999999999906,-1.0,-1.0,closed
1097,AUDUSD,W,bearish,2002-06-07 21:00:00+00:00,2002-06-14 21:00:00+00:00,0.5713,0.5575000000000002,0.5781999999999999,0.5759,0.5713,2002-06-28 21:00:00+00:00,0.5575000000000002,tp,137.99999999999812,2.0,2.0,closed
1098,AUDUSD,W,bullish,2002-06-14 21:00:00+00:00,2002-06-21 21:00:00+00:00,0.5608,0.5668,0.5578,0.5608,0.5588,2002-06-28 21:00:00+00:00,0.5578,sl,-30.00000000000003,-1.0,-1.0,closed
3,AUDUSD,3D,bullish,2002-06-17 00:00:00+00:00,2002-06-23 00:00:00+00:00,0.566,0.5875999999999999,0.5551999999999999,0.566,0.5588,2002-07-14 00:00:00+00:00,0.5551999999999999,sl,-108.00000000000031,-1.0,-1.0,closed
4,AUDUSD,3D,bearish,2002-06-20 00:00:00+00:00,2002-06-23 00:00:00+00:00,0.5719,0.5631999999999999,0.5762499999999999,0.5748,0.5719,2002-06-29 00:00:00+00:00,0.5631999999999999,tp,87.00000000000041,2.0000000000000253,2.0000000000000253,closed
5,AUDUSD,3D,bullish,2002-07-05 00:00:00+00:00,2002-07-08 00:00:00+00:00,0.5577,0.5621999999999998,0.55545,0.5577,0.5562,2002-07-14 00:00:00+00:00,0.55545,sl,-22.499999999999744,-1.0,-1.0,closed
1099,AUDUSD,W,bullish,2002-07-05 21:00:00+00:00,2002-07-12 21:00:00+00:00,0.5577,0.5621999999999998,0.55545,0.5577,0.5562,2002-07-19 21:00:00+00:00,0.55545,sl,-22.499999999999744,-1.0,-1.0,closed
1,AUDUSD,3D,bullish,2002-05-12 00:00:00+00:00,2002-07-20 00:00:00+00:00,0.5475,0.5568,0.54285,0.5475,0.5444,2002-07-23 00:00:00+00:00,0.54285,sl,-46.49999999999932,-1.0,-1.0,closed
7,AUDUSD,3D,bullish,2002-07-17 00:00:00+00:00,2002-07-20 00:00:00+00:00,0.554,0.5621000000000002,0.5499499999999999,0.554,0.5513,2002-07-23 00:00:00+00:00,0.5499499999999999,sl,-40.500000000001094,-1.0,-1.0,closed
9,AUDUSD,3D,bullish,2002-08-04 00:00:00+00:00,2002-08-07 00:00:00+00:00,0.5391,0.5727,0.5223,0.5391,0.5279,2003-01-04 00:00:00+00:00,0.5727,tp,335.99999999999966,1.9999999999999936,1.9999999999999936,closed
