trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
2,EURAUD,3D,bullish,2004-06-06 00:00:00+00:00,2004-06-12 00:00:00+00:00,1.7651,1.8331999999999997,1.73105,1.7651,1.7424,2004-06-30 00:00:00+00:00,1.73105,sl,-340.49999999999915,-1.0,-1.0,closed
3,EURAUD,3D,bearish,2004-06-09 00:00:00+00:00,2004-06-12 00:00:00+00:00,1.7362,1.6927,1.75795,1.7507,1.7362,2004-06-15 00:00:00+00:00,1.75795,sl,-217.49999999999937,-1.0,-1.0,closed
1,EURAUD,3D,bearish,2004-06-03 00:00:00+00:00,2004-06-15 00:00:00+00:00,1.7659,1.7380000000000004,1.7798499999999997,1.7752,1.7659,2004-06-30 00:00:00+00:00,1.7380000000000004,tp,278.9999999999959,2.000000000000016,2.000000000000016,closed
1073,EURAUD,W,bullish,2004-06-11 21:00:00+00:00,2004-06-25 21:00:00+00:00,1.7351,1.7414,1.73195,1.7351,1.733,2004-07-02 21:00:00+00:00,1.73195,sl,-31.49999999999986,-1.0,-1.0,closed
8,EURAUD,3D,bullish,2004-07-06 00:00:00+00:00,2004-07-09 00:00:00+00:00,1.7225,1.7574499999999997,1.705025,1.7225,1.71085,2004-07-12 00:00:00+00:00,1.705025,sl,-174.74999999999906,-1.0,-1.0,closed
10,EURAUD,3D,bullish,2004-07-12 00:00:00+00:00,2004-07-15 00:00:00+00:00,1.7057,1.72145,1.697825,1.7057,1.70045,2004-07-18 00:00:00+00:00,1.697825,sl,-78.75000000000077,-1.0,-1.0,closed
11,EURAUD,3D,bearish,2004-07-15 00:00:00+00:00,2004-07-18 00:00:00+00:00,1.7005,1.6695999999999993,1.7159500000000003,1.7108,1.7005,2004-07-24 00:00:00+00:00,1.7159500000000003,sl,-154.5000000000041,-1.0,-1.0,closed
9,EURAUD,3D,bearish,2004-07-09 00:00:00+00:00,2004-07-24 00:00:00+00:00,1.7163,1.7041499999999996,1.722375,1.72035,1.7163,2004-07-27 00:00:00+00:00,1.722375,sl,-60.750000000000526,-1.0,-1.0,closed
1500,EURAUD,M,bearish,2004-06-30 21:00:00+00:00,2004-07-31 21:00:00+00:00,1.7249,1.5740000000000007,1.80035,1.7752,1.7249,2005-05-31 21:00:00+00:00,1.5740000000000007,tp,1508.9999999999936,1.999999999999997,1.999999999999997,closed
13,EURAUD,3D,bullish,2004-07-24 00:00:00+00:00,2004-08-02 00:00:00+00:00,1.7068,1.7134000000000007,1.7034999999999998,1.7068,1.7046,2004-08-05 00:00:00+00:00,1.7134000000000007,tp,66.00000000000605,2.0,2.0,closed
