trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
1,EURCAD,3D,bullish,2004-06-03 00:00:00+00:00,2004-06-06 00:00:00+00:00,1.6664,1.68755,1.655825,1.6664,1.65935,2004-06-09 00:00:00+00:00,1.655825,sl,-105.75000000000001,-1.0,-1.0,closed
2,EURCAD,3D,bearish,2004-06-06 00:00:00+00:00,2004-06-12 00:00:00+00:00,1.65945,1.6528500000000002,1.66275,1.66165,1.65945,2004-06-15 00:00:00+00:00,1.6528500000000002,tp,65.99999999999939,2.000000000000067,2.000000000000067,closed
1078,EURCAD,W,bullish,2004-07-02 21:00:00+00:00,2004-07-09 21:00:00+00:00,1.63115,1.6628000000000003,1.615325,1.63115,1.6206,2004-07-16 21:00:00+00:00,1.615325,sl,-158.250000000002,-1.0,-1.0,closed
3,EURCAD,3D,bullish,2004-06-30 00:00:00+00:00,2004-07-12 00:00:00+00:00,1.62585,1.6416,1.617975,1.62585,1.6206,2004-07-21 00:00:00+00:00,1.617975,sl,-78.75000000000077,-1.0,-1.0,closed
4,EURCAD,3D,bullish,2004-07-12 00:00:00+00:00,2004-07-15 00:00:00+00:00,1.6349,1.6634000000000002,1.62065,1.6349,1.6254,2004-07-18 00:00:00+00:00,1.62065,sl,-142.50000000000097,-1.0,-1.0,closed
6,EURCAD,3D,bullish,2004-07-24 00:00:00+00:00,2004-07-27 00:00:00+00:00,1.59935,1.60565,1.5962,1.59935,1.59725,2004-08-02 00:00:00+00:00,1.5962,sl,-31.49999999999986,-1.0,-1.0,closed
7,EURCAD,3D,bearish,2004-07-27 00:00:00+00:00,2004-07-30 00:00:00+00:00,1.6016,1.5508999999999995,1.6269500000000001,1.6185,1.6016,2004-08-11 00:00:00+00:00,1.6269500000000001,sl,-253.50000000000205,-1.0,-1.0,closed
10,EURCAD,3D,bullish,2004-08-08 00:00:00+00:00,2004-08-14 00:00:00+00:00,1.61705,1.6341500000000002,1.6085,1.61705,1.61135,2004-08-17 00:00:00+00:00,1.6085,sl,-85.50000000000057,-1.0,-1.0,closed
11,EURCAD,3D,bearish,2004-08-11 00:00:00+00:00,2004-08-14 00:00:00+00:00,1.61875,1.5815499999999993,1.63735,1.63115,1.61875,2004-08-23 00:00:00+00:00,1.5815499999999993,tp,372.0000000000057,2.0000000000000124,2.0000000000000124,closed
8,EURCAD,3D,bullish,2004-07-30 00:00:00+00:00,2004-08-17 00:00:00+00:00,1.601,1.6173499999999998,1.592825,1.601,1.59555,2004-08-20 00:00:00+00:00,1.592825,sl,-81.75000000000043,-1.0,-1.0,closed
9,EURCAD,3D,bearish,2004-08-05 00:00:00+00:00,2004-08-17 00:00:00+00:00,1.58945,1.52225,1.62305,1.61185,1.58945,2004-12-06 00:00:00+00:00,1.62305,sl,-336.00000000000074,-1.0,-1.0,closed
12,EURCAD,3D,bullish,2004-08-23 00:00:00+00:00,2004-08-26 00:00:00+00:00,1.5875,1.6201999999999996,1.57115,1.5875,1.5766,2004-09-01 00:00:00+00:00,1.57115,sl,-163.49999999999864,-1.0,-1.0,closed
13,EURCAD,3D,bearish,2004-09-01 00:00:00+00:00,2004-09-07 00:00:00+00:00,1.5821,1.5311000000000003,1.6076,1.5991,1.5821,2004-12-03 00:00:00+00:00,1.6076,sl,-254.99999999999855,-1.0,-1.0,closed
1082,EURCAD,W,bearish,2004-09-10 21:00:00+00:00,2004-09-17 21:00:00+00:00,1.58375,1.5475999999999996,1.6018250000000003,1.5958,1.58375,2004-10-01 21:00:00+00:00,1.5475999999999996,tp,361.50000000000347,1.9999999999999878,1.9999999999999878,closed
1081,EURCAD,W,bullish,2004-09-03 21:00:00+00:00,2004-09-17 21:00:00+00:00,1.56805,1.5966999999999998,1.553725,1.56805,1.5585,2004-10-01 21:00:00+00:00,1.553725,sl,-143.2499999999992,-1.0,-1.0,closed
