trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
1,EURCHF,3D,bullish,2002-05-09 00:00:00+00:00,2002-05-18 00:00:00+00:00,1.454,1.45745,1.452275,1.454,1.45285,2002-05-24 00:00:00+00:00,1.45745,tp,34.49999999999953,2.0,2.0,closed
2,EURCHF,3D,bearish,2002-05-15 00:00:00+00:00,2002-05-21 00:00:00+00:00,1.45545,1.4503499999999998,1.458,1.45715,1.45545,2002-05-27 00:00:00+00:00,1.458,sl,-25.500000000000522,-1.0,-1.0,closed
5,EURCHF,3D,bearish,2002-06-05 00:00:00+00:00,2002-06-08 00:00:00+00:00,1.47005,1.4571500000000002,1.4765000000000001,1.47435,1.47005,2002-06-11 00:00:00+00:00,1.4765000000000001,sl,-64.50000000000067,-1.0,-1.0,closed
6,EURCHF,3D,bearish,2002-06-11 00:00:00+00:00,2002-06-14 00:00:00+00:00,1.47485,1.4652499999999997,1.4796500000000001,1.47805,1.47485,2002-07-02 00:00:00+00:00,1.4652499999999997,tp,96.00000000000276,2.0,2.0,closed
7,EURCHF,3D,bullish,2002-06-14 00:00:00+00:00,2002-06-17 00:00:00+00:00,1.4758,1.47955,1.473925,1.4758,1.47455,2002-06-20 00:00:00+00:00,1.473925,sl,-18.75000000000071,-1.0,-1.0,closed
8,EURCHF,3D,bearish,2002-06-26 00:00:00+00:00,2002-06-29 00:00:00+00:00,1.4676,1.4592000000000003,1.4718,1.4704,1.4676,2002-07-08 00:00:00+00:00,1.4718,sl,-41.999999999999815,-1.0,-1.0,closed
952,EURCHF,W,bearish,2002-06-28 21:00:00+00:00,2002-07-05 21:00:00+00:00,1.4687,1.4635999999999998,1.47125,1.4704,1.4687,2002-07-12 21:00:00+00:00,1.4635999999999998,tp,51.000000000001044,2.0,2.0,closed
9,EURCHF,3D,bullish,2002-07-02 00:00:00+00:00,2002-07-08 00:00:00+00:00,1.4666,1.4736499999999995,1.4630750000000001,1.4666,1.46425,2002-07-17 00:00:00+00:00,1.4630750000000001,sl,-35.24999999999778,-1.0,-1.0,closed
10,EURCHF,3D,bearish,2002-07-08 00:00:00+00:00,2002-07-11 00:00:00+00:00,1.4699,1.4618000000000002,1.4739499999999999,1.4726,1.4699,2002-07-17 00:00:00+00:00,1.4618000000000002,tp,80.99999999999774,2.0,2.0,closed
953,EURCHF,W,bullish,2002-07-05 21:00:00+00:00,2002-07-12 21:00:00+00:00,1.4677,1.4780499999999999,1.462525,1.4677,1.46425,2002-07-19 21:00:00+00:00,1.462525,sl,-51.7499999999993,-1.0,-1.0,closed
11,EURCHF,3D,bullish,2002-07-11 00:00:00+00:00,2002-07-14 00:00:00+00:00,1.4698,1.4794000000000003,1.4649999999999999,1.4698,1.4666,2002-07-17 00:00:00+00:00,1.4649999999999999,sl,-48.00000000000138,-1.0,-1.0,closed
4,EURCHF,3D,bullish,2002-05-27 00:00:00+00:00,2002-07-17 00:00:00+00:00,1.46165,1.4752999999999994,1.454825,1.46165,1.4571,2002-07-20 00:00:00+00:00,1.454825,sl,-68.2499999999986,-1.0,-1.0,closed
3,EURCHF,3D,bullish,2002-05-21 00:00:00+00:00,2002-07-23 00:00:00+00:00,1.45265,1.45805,1.4499499999999999,1.45265,1.45085,2002-07-26 00:00:00+00:00,1.4499499999999999,sl,-27.000000000001467,-1.0,-1.0,closed
1369,EURCHF,M,bearish,2002-06-30 21:00:00+00:00,2002-07-31 21:00:00+00:00,1.4687,1.4406499999999993,1.4827250000000003,1.47805,1.4687,2003-03-31 22:00:00+00:00,1.4827250000000003,sl,-140.25000000000398,-1.0,-1.0,closed
15,EURCHF,3D,bearish,2002-08-07 00:00:00+00:00,2002-08-10 00:00:00+00:00,1.4582,1.4431999999999996,1.4657,1.4632,1.4582,2002-08-13 00:00:00+00:00,1.4657,sl,-75.00000000000063,-1.0,-1.0,closed
12,EURCHF,3D,bearish,2002-07-14 00:00:00+00:00,2002-08-16 00:00:00+00:00,1.4669,1.4570000000000005,1.4718499999999999,1.4702,1.4669,2002-08-19 00:00:00+00:00,1.4718499999999999,sl,-49.49999999999788,-1.0,-1.0,closed
954,EURCHF,W,bearish,2002-07-12 21:00:00+00:00,2002-08-16 21:00:00+00:00,1.4698,1.4614000000000003,1.4739999999999998,1.4726,1.4698,2002-08-30 21:00:00+00:00,1.4614000000000003,tp,83.99999999999741,2.000000000000053,2.000000000000053,closed
956,EURCHF,W,bearish,2002-08-23 21:00:00+00:00,2002-08-30 21:00:00+00:00,1.4713,1.46785,1.473025,1.47245,1.4713,2002-09-06 21:00:00+00:00,1.46785,tp,34.49999999999953,2.0,2.0,closed
16,EURCHF,3D,bullish,2002-09-06 00:00:00+00:00,2002-09-09 00:00:00+00:00,1.46075,1.4710999999999999,1.455575,1.46075,1.4573,2002-11-20 00:00:00+00:00,1.4710999999999999,tp,103.4999999999986,2.0,2.0,closed
958,EURCHF,W,bearish,2002-09-13 21:00:00+00:00,2002-09-20 21:00:00+00:00,1.467,1.4577000000000004,1.47165,1.4701,1.467,2002-09-27 21:00:00+00:00,1.4577000000000004,tp,92.99999999999642,2.0,2.0,closed
17,EURCHF,3D,bullish,2002-09-18 00:00:00+00:00,2002-09-21 00:00:00+00:00,1.4685,1.4876999999999998,1.4588999999999999,1.4685,1.4621,2002-09-27 00:00:00+00:00,1.4588999999999999,sl,-96.00000000000053,-1.0,-1.0,closed
18,EURCHF,3D,bullish,2002-09-24 00:00:00+00:00,2002-09-27 00:00:00+00:00,1.4641,1.4673999999999996,1.46245,1.4641,1.463,2002-09-30 00:00:00+00:00,1.46245,sl,-16.499999999999293,-1.0,-1.0,closed
957,EURCHF,W,bullish,2002-09-06 21:00:00+00:00,2002-09-27 21:00:00+00:00,1.46075,1.4710999999999999,1.455575,1.46075,1.4573,2002-11-15 22:00:00+00:00,1.4710999999999999,tp,103.4999999999986,2.0,2.0,closed
959,EURCHF,W,bullish,2002-09-20 21:00:00+00:00,2002-09-27 21:00:00+00:00,1.4648,1.4729000000000005,1.46075,1.4648,1.4621,2002-11-22 22:00:00+00:00,1.4729000000000005,tp,81.0000000000044,2.0000000000000546,2.0000000000000546,closed
1371,EURCHF,M,bearish,2002-08-31 21:00:00+00:00,2002-09-30 21:00:00+00:00,1.4707,1.4654499999999995,1.473325,1.47245,1.4707,2002-10-31 22:00:00+00:00,1.473325,sl,-26.250000000000995,-1.0,-1.0,closed
960,EURCHF,W,bearish,2002-09-27 21:00:00+00:00,2002-10-04 21:00:00+00:00,1.4649,1.4574000000000003,1.46865,1.4674,1.4649,2002-10-11 21:00:00+00:00,1.46865,sl,-37.499999999999204,-1.0,-1.0,closed
19,EURCHF,3D,bearish,2002-09-27 00:00:00+00:00,2002-10-06 00:00:00+00:00,1.4649,1.4574000000000003,1.46865,1.4674,1.4649,2002-10-15 00:00:00+00:00,1.46865,sl,-37.499999999999204,-1.0,-1.0,closed
20,EURCHF,3D,bullish,2002-10-06 00:00:00+00:00,2002-10-09 00:00:00+00:00,1.4631,1.4679000000000002,1.4607,1.4631,1.4615,2002-10-15 00:00:00+00:00,1.4679000000000002,tp,48.00000000000138,2.000000000000093,2.000000000000093,closed
21,EURCHF,3D,bearish,2002-10-09 00:00:00+00:00,2002-10-12 00:00:00+00:00,1.4638,1.4563000000000001,1.46755,1.4663,1.4638,2002-10-15 00:00:00+00:00,1.46755,sl,-37.499999999999204,-1.0,-1.0,closed
