trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
1,EURGBP,3D,bearish,2002-05-16 00:00:00+00:00,2002-05-19 00:00:00+00:00,0.62615,0.6101000000000001,0.6341749999999999,0.6315,0.62615,2002-05-25 00:00:00+00:00,0.6341749999999999,sl,-80.24999999999949,-1.0,-1.0,closed
3,EURGBP,3D,bearish,2002-05-22 00:00:00+00:00,2002-05-25 00:00:00+00:00,0.63325,0.6293500000000001,0.6352,0.63455,0.63325,2002-05-28 00:00:00+00:00,0.6352,sl,-19.50000000000007,-1.0,-1.0,closed
4,EURGBP,3D,bearish,2002-06-06 00:00:00+00:00,2002-06-09 00:00:00+00:00,0.6466,0.6398499999999997,0.6499750000000001,0.64885,0.6466,2002-06-15 00:00:00+00:00,0.6398499999999997,tp,67.50000000000256,2.0,2.0,closed
983,EURGBP,W,bearish,2002-06-07 21:00:00+00:00,2002-06-14 21:00:00+00:00,0.6463,0.6386499999999998,0.6501250000000001,0.64885,0.6463,2002-07-05 21:00:00+00:00,0.6386499999999998,tp,76.50000000000156,2.0,2.0,closed
984,EURGBP,W,bullish,2002-06-14 21:00:00+00:00,2002-06-28 21:00:00+00:00,0.6402,0.64575,0.6374249999999999,0.6402,0.63835,2002-07-05 21:00:00+00:00,0.6374249999999999,sl,-27.75000000000083,-1.0,-1.0,closed
5,EURGBP,3D,bullish,2002-06-18 00:00:00+00:00,2002-06-30 00:00:00+00:00,0.64215,0.6535500000000001,0.63645,0.64215,0.63835,2002-07-09 00:00:00+00:00,0.63645,sl,-57.000000000000384,-1.0,-1.0,closed
6,EURGBP,3D,bullish,2002-07-06 00:00:00+00:00,2002-07-12 00:00:00+00:00,0.6403,0.6436,0.6386499999999999,0.6403,0.6392,2002-07-21 00:00:00+00:00,0.6386499999999999,sl,-16.500000000000405,-1.0,-1.0,closed
7,EURGBP,3D,bearish,2002-07-09 00:00:00+00:00,2002-07-12 00:00:00+00:00,0.63895,0.6311500000000002,0.6428499999999999,0.64155,0.63895,2002-07-15 00:00:00+00:00,0.6428499999999999,sl,-38.999999999999034,-1.0,-1.0,closed
985,EURGBP,W,bullish,2002-07-12 21:00:00+00:00,2002-07-19 21:00:00+00:00,0.6381,0.6433500000000001,0.635475,0.6381,0.63635,2002-07-26 21:00:00+00:00,0.635475,sl,-26.249999999999886,-1.0,-1.0,closed
8,EURGBP,3D,bullish,2002-07-12 00:00:00+00:00,2002-07-21 00:00:00+00:00,0.6381,0.6433500000000001,0.635475,0.6381,0.63635,2002-07-24 00:00:00+00:00,0.635475,sl,-26.249999999999886,-1.0,-1.0,closed
2,EURGBP,3D,bullish,2002-05-19 00:00:00+00:00,2002-07-24 00:00:00+00:00,0.63155,0.6357499999999998,0.6294500000000001,0.63155,0.63015,2002-07-27 00:00:00+00:00,0.6294500000000001,sl,-20.9999999999988,-1.0,-1.0,closed
10,EURGBP,3D,bearish,2002-08-02 00:00:00+00:00,2002-08-05 00:00:00+00:00,0.6283,0.6215499999999997,0.6316750000000001,0.63055,0.6283,2002-08-08 00:00:00+00:00,0.6316750000000001,sl,-33.75000000000128,-1.0,-1.0,closed
12,EURGBP,3D,bullish,2002-08-14 00:00:00+00:00,2002-08-17 00:00:00+00:00,0.6393,0.6447,0.6365999999999999,0.6393,0.6375,2002-08-26 00:00:00+00:00,0.6365999999999999,sl,-27.000000000000355,-1.0,-1.0,closed
11,EURGBP,3D,bearish,2002-08-08 00:00:00+00:00,2002-08-26 00:00:00+00:00,0.63155,0.6166999999999999,0.638975,0.6365,0.63155,2002-11-03 00:00:00+00:00,0.638975,sl,-74.25000000000014,-1.0,-1.0,closed
1459,EURGBP,M,bullish,2002-07-31 21:00:00+00:00,2002-08-31 21:00:00+00:00,0.63055,0.6479500000000001,0.62185,0.63055,0.62475,2002-11-30 22:00:00+00:00,0.6479500000000001,tp,174.00000000000082,2.0,2.0,closed
13,EURGBP,3D,bullish,2002-08-29 00:00:00+00:00,2002-09-01 00:00:00+00:00,0.6358,0.6430000000000002,0.6321999999999999,0.6358,0.6334,2002-09-07 00:00:00+00:00,0.6321999999999999,sl,-36.000000000001585,-1.0,-1.0,closed
