trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
3,EURNZD,3D,bearish,2004-06-09 00:00:00+00:00,2004-06-12 00:00:00+00:00,1.9113,1.7807999999999997,1.97655,1.9548,1.9113,2005-03-21 00:00:00+00:00,1.7807999999999997,tp,1305.0000000000027,2.000000000000003,2.000000000000003,closed
5,EURNZD,3D,bearish,2004-06-18 00:00:00+00:00,2004-06-21 00:00:00+00:00,1.93585,1.9313500000000006,1.9381,1.93735,1.93585,2004-06-24 00:00:00+00:00,1.9313500000000006,tp,44.99999999999504,1.9999999999999012,1.9999999999999012,closed
1072,EURNZD,W,bullish,2004-06-11 21:00:00+00:00,2004-06-25 21:00:00+00:00,1.90915,1.9183,1.904575,1.90915,1.9061,2004-07-02 21:00:00+00:00,1.904575,sl,-45.74999999999996,-1.0,-1.0,closed
4,EURNZD,3D,bullish,2004-06-15 00:00:00+00:00,2004-06-27 00:00:00+00:00,1.9099,1.9213,1.9042,1.9099,1.9061,2004-06-30 00:00:00+00:00,1.9042,sl,-57.000000000000384,-1.0,-1.0,closed
6,EURNZD,3D,bullish,2004-06-27 00:00:00+00:00,2004-06-30 00:00:00+00:00,1.91385,1.9527,1.894425,1.91385,1.9009,2004-07-03 00:00:00+00:00,1.894425,sl,-194.25000000000026,-1.0,-1.0,closed
7,EURNZD,3D,bullish,2004-07-06 00:00:00+00:00,2004-07-09 00:00:00+00:00,1.8916,1.9139499999999998,1.880425,1.8916,1.88415,2004-07-12 00:00:00+00:00,1.880425,sl,-111.74999999999935,-1.0,-1.0,closed
8,EURNZD,3D,bearish,2004-07-15 00:00:00+00:00,2004-07-18 00:00:00+00:00,1.88885,1.8586999999999996,1.903925,1.8989,1.88885,2004-07-21 00:00:00+00:00,1.903925,sl,-150.7500000000017,-1.0,-1.0,closed
10,EURNZD,3D,bearish,2004-07-21 00:00:00+00:00,2004-07-24 00:00:00+00:00,1.9096,1.8930999999999998,1.91785,1.9151,1.9096,2004-07-27 00:00:00+00:00,1.8930999999999998,tp,165.00000000000182,2.0,2.0,closed
9,EURNZD,3D,bullish,2004-07-18 00:00:00+00:00,2004-07-27 00:00:00+00:00,1.8975,1.9352999999999998,1.8786,1.8975,1.8849,2004-08-02 00:00:00+00:00,1.8786,sl,-188.99999999999918,-1.0,-1.0,closed
11,EURNZD,3D,bullish,2004-07-24 00:00:00+00:00,2004-07-27 00:00:00+00:00,1.90525,1.9127500000000006,1.9015,1.90525,1.90275,2004-07-30 00:00:00+00:00,1.9015,sl,-37.50000000000142,-1.0,-1.0,closed
13,EURNZD,3D,bullish,2004-08-02 00:00:00+00:00,2004-08-08 00:00:00+00:00,1.8792,1.9238999999999997,1.8568500000000001,1.8792,1.8643,2004-08-11 00:00:00+00:00,1.8568500000000001,sl,-223.4999999999987,-1.0,-1.0,closed
