trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
1,GBPCHF,3D,bullish,2002-05-16 00:00:00+00:00,2002-05-25 00:00:00+00:00,2.32625,2.3918000000000004,2.293475,2.32625,2.3044,2002-05-28 00:00:00+00:00,2.293475,sl,-327.75,-1.0,-1.0,closed
2,GBPCHF,3D,bearish,2002-05-19 00:00:00+00:00,2002-05-25 00:00:00+00:00,2.3006,2.2856000000000005,2.3081,2.3056,2.3006,2002-05-28 00:00:00+00:00,2.2856000000000005,tp,149.99999999999682,2.0,2.0,closed
1078,GBPCHF,W,bullish,2002-06-07 21:00:00+00:00,2002-06-14 21:00:00+00:00,2.2745,2.280500000000001,2.2714999999999996,2.2745,2.2725,2002-06-21 21:00:00+00:00,2.2714999999999996,sl,-30.000000000005578,-1.0,-1.0,closed
3,GBPCHF,3D,bullish,2002-06-09 00:00:00+00:00,2002-06-18 00:00:00+00:00,2.2769,2.2843999999999998,2.2731500000000002,2.2769,2.2744,2002-06-21 00:00:00+00:00,2.2731500000000002,sl,-37.49999999999698,-1.0,-1.0,closed
4,GBPCHF,3D,bearish,2002-06-18 00:00:00+00:00,2002-07-03 00:00:00+00:00,2.2906,2.2249,2.3234500000000002,2.3125,2.2906,2002-07-27 00:00:00+00:00,2.3234500000000002,sl,-328.5000000000027,-1.0,-1.0,closed
1079,GBPCHF,W,bearish,2002-06-14 21:00:00+00:00,2002-07-05 21:00:00+00:00,2.3053,2.2836999999999996,2.3161,2.3125,2.3053,2002-07-12 21:00:00+00:00,2.2836999999999996,tp,216.00000000000284,2.0,2.0,closed
1081,GBPCHF,W,bearish,2002-07-12 21:00:00+00:00,2002-07-26 21:00:00+00:00,2.3029,2.2948000000000004,2.30695,2.3056,2.3029,2002-08-02 21:00:00+00:00,2.30695,sl,-40.49999999999887,-1.0,-1.0,closed
5,GBPCHF,3D,bearish,2002-07-12 00:00:00+00:00,2002-07-30 00:00:00+00:00,2.3029,2.2948000000000004,2.30695,2.3056,2.3029,2002-08-02 00:00:00+00:00,2.30695,sl,-40.49999999999887,-1.0,-1.0,closed
8,GBPCHF,3D,bullish,2002-08-02 00:00:00+00:00,2002-08-05 00:00:00+00:00,2.308,2.3377,2.29315,2.308,2.2981,2002-08-08 00:00:00+00:00,2.29315,sl,-148.50000000000028,-1.0,-1.0,closed
10,GBPCHF,3D,bullish,2002-08-11 00:00:00+00:00,2002-08-14 00:00:00+00:00,2.2909,2.3113000000000006,2.2807,2.2909,2.2841,2002-08-20 00:00:00+00:00,2.3113000000000006,tp,204.00000000000418,2.0,2.0,closed
1082,GBPCHF,W,bearish,2002-08-02 21:00:00+00:00,2002-08-16 21:00:00+00:00,2.3074,2.2318000000000002,2.3451999999999997,2.3326,2.3074,2002-12-20 22:00:00+00:00,2.2318000000000002,tp,755.9999999999967,2.0,2.0,closed
9,GBPCHF,3D,bearish,2002-08-05 00:00:00+00:00,2002-09-01 00:00:00+00:00,2.315,2.298199999999999,2.3234000000000004,2.3206,2.315,2002-09-07 00:00:00+00:00,2.3234000000000004,sl,-84.00000000000406,-1.0,-1.0,closed
11,GBPCHF,3D,bearish,2002-09-01 00:00:00+00:00,2002-09-07 00:00:00+00:00,2.31525,2.2928999999999986,2.3264250000000004,2.3227,2.31525,2002-09-10 00:00:00+00:00,2.3264250000000004,sl,-111.75000000000601,-1.0,-1.0,closed
7,GBPCHF,3D,bearish,2002-07-30 00:00:00+00:00,2002-09-07 00:00:00+00:00,2.3233,2.295400000000001,2.3372499999999996,2.3326,2.3233,2002-09-10 00:00:00+00:00,2.3372499999999996,sl,-139.49999999999463,-1.0,-1.0,closed
1083,GBPCHF,W,bullish,2002-09-06 21:00:00+00:00,2002-09-13 21:00:00+00:00,2.3135,2.350399999999999,2.2950500000000003,2.3135,2.3012,2002-10-25 21:00:00+00:00,2.2950500000000003,sl,-184.49999999999633,-1.0,-1.0,closed
