trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
2,GBPJPY,3D,bearish,2002-05-19 00:00:00+00:00,2002-06-09 00:00:00+00:00,182.895,180.57000000000008,184.05749999999998,183.67,182.895,2002-06-15 00:00:00+00:00,184.05749999999998,sl,-116.24999999999659,-1.0,-1.0,closed
6,GBPJPY,3D,bearish,2002-06-12 00:00:00+00:00,2002-06-15 00:00:00+00:00,183.875,180.695,185.465,184.935,183.875,2002-07-24 00:00:00+00:00,185.465,sl,-159.00000000000034,-1.0,-1.0,closed
5,GBPJPY,3D,bullish,2002-06-09 00:00:00+00:00,2002-06-18 00:00:00+00:00,182.205,184.14000000000004,181.2375,182.205,181.56,2002-06-30 00:00:00+00:00,184.14000000000004,tp,193.50000000000307,2.0000000000000293,2.0000000000000293,closed
1111,GBPJPY,W,bearish,2002-06-14 21:00:00+00:00,2002-06-28 21:00:00+00:00,183.37,177.23500000000004,186.4375,185.415,183.37,2002-07-26 21:00:00+00:00,186.4375,sl,-306.74999999999955,-1.0,-1.0,closed
8,GBPJPY,3D,bearish,2002-06-24 00:00:00+00:00,2002-06-30 00:00:00+00:00,182.885,182.315,183.17,183.075,182.885,2002-07-03 00:00:00+00:00,183.17,sl,-28.49999999999966,-1.0,-1.0,closed
9,GBPJPY,3D,bullish,2002-06-27 00:00:00+00:00,2002-06-30 00:00:00+00:00,183.17,184.14499999999995,182.6825,183.17,182.845,2002-07-09 00:00:00+00:00,182.6825,sl,-48.749999999998295,-1.0,-1.0,closed
4,GBPJPY,3D,bearish,2002-06-06 00:00:00+00:00,2002-07-09 00:00:00+00:00,181.265,180.18499999999995,181.805,181.625,181.265,2002-07-12 00:00:00+00:00,181.805,sl,-54.000000000002046,-1.0,-1.0,closed
12,GBPJPY,3D,bearish,2002-07-09 00:00:00+00:00,2002-07-12 00:00:00+00:00,182.075,179.73499999999999,183.245,182.855,182.075,2002-07-15 00:00:00+00:00,183.245,sl,-117.00000000000159,-1.0,-1.0,closed
10,GBPJPY,3D,bearish,2002-06-30 00:00:00+00:00,2002-07-15 00:00:00+00:00,183.34,180.92499999999998,184.5475,184.145,183.34,2002-07-24 00:00:00+00:00,184.5475,sl,-120.75000000000102,-1.0,-1.0,closed
11,GBPJPY,3D,bullish,2002-07-03 00:00:00+00:00,2002-07-15 00:00:00+00:00,183.235,183.985,182.86,183.235,182.985,2002-07-18 00:00:00+00:00,182.86,sl,-37.5,-1.0,-1.0,closed
7,GBPJPY,3D,bearish,2002-06-18 00:00:00+00:00,2002-07-24 00:00:00+00:00,184.735,182.69500000000008,185.755,185.415,184.735,2002-07-27 00:00:00+00:00,185.755,sl,-101.99999999999818,-1.0,-1.0,closed
