trade_id,pair,timeframe,direction,pivot_generated_time,entry_time,entry_price,tp_price,sl_price,gap_high,gap_low,exit_time,exit_price,exit_reason,pnl_pips,pnl_r,pnl_percent,status
2,NZDCHF,3D,bullish,2004-06-09 00:00:00+00:00,2004-06-12 00:00:00+00:00,0.78886,0.8302299999999999,0.768175,0.78886,0.77507,2004-08-17 00:00:00+00:00,0.8302299999999999,tp,413.6999999999991,2.0,2.0,closed
1,NZDCHF,3D,bearish,2004-06-06 00:00:00+00:00,2004-06-15 00:00:00+00:00,0.77194,0.7352799999999999,0.79027,0.78416,0.77194,2004-06-24 00:00:00+00:00,0.79027,sl,-183.3000000000007,-1.0,-1.0,closed
970,NZDCHF,W,bearish,2004-06-11 21:00:00+00:00,2004-06-18 21:00:00+00:00,0.79217,0.7769000000000003,0.7998049999999999,0.79726,0.79217,2004-06-25 21:00:00+00:00,0.7998049999999999,sl,-76.34999999999836,-1.0,-1.0,closed
4,NZDCHF,3D,bearish,2004-06-27 00:00:00+00:00,2004-06-30 00:00:00+00:00,0.79324,0.7703799999999997,0.80467,0.80086,0.79324,2004-07-06 00:00:00+00:00,0.80467,sl,-114.30000000000051,-1.0,-1.0,closed
5,NZDCHF,3D,bearish,2004-07-06 00:00:00+00:00,2004-07-09 00:00:00+00:00,0.80322,0.7961400000000003,0.8067599999999999,0.80558,0.80322,2004-07-12 00:00:00+00:00,0.8067599999999999,sl,-35.39999999999877,-1.0,-1.0,closed
6,NZDCHF,3D,bearish,2004-07-12 00:00:00+00:00,2004-07-18 00:00:00+00:00,0.80946,0.80199,0.8131949999999999,0.81195,0.80946,2004-07-21 00:00:00+00:00,0.80199,tp,74.69999999999976,2.0000000000000298,2.0000000000000298,closed
7,NZDCHF,3D,bullish,2004-07-15 00:00:00+00:00,2004-07-18 00:00:00+00:00,0.80766,0.8245800000000003,0.7991999999999999,0.80766,0.80202,2004-08-02 00:00:00+00:00,0.8245800000000003,tp,169.2000000000027,2.0,2.0,closed
8,NZDCHF,3D,bearish,2004-07-18 00:00:00+00:00,2004-07-21 00:00:00+00:00,0.80508,0.7783200000000002,0.81846,0.814,0.80508,2004-07-30 00:00:00+00:00,0.81846,sl,-133.79999999999947,-1.0,-1.0,closed
972,NZDCHF,W,bearish,2004-07-16 21:00:00+00:00,2004-07-23 21:00:00+00:00,0.80766,0.7886400000000003,0.81717,0.814,0.80766,2004-07-30 21:00:00+00:00,0.81717,sl,-95.09999999999907,-1.0,-1.0,closed
9,NZDCHF,3D,bullish,2004-07-21 00:00:00+00:00,2004-07-24 00:00:00+00:00,0.80144,0.8055800000000002,0.7993699999999999,0.80144,0.80006,2004-07-27 00:00:00+00:00,0.8055800000000002,tp,41.400000000001434,1.999999999999946,1.999999999999946,closed
10,NZDCHF,3D,bearish,2004-07-24 00:00:00+00:00,2004-07-27 00:00:00+00:00,0.80428,0.8011599999999999,0.8058400000000001,0.80532,0.80428,2004-07-30 00:00:00+00:00,0.8058400000000001,sl,-15.600000000001168,-1.0,-1.0,closed
12,NZDCHF,3D,bearish,2004-08-02 00:00:00+00:00,2004-08-08 00:00:00+00:00,0.8187,0.79446,0.8308199999999999,0.82678,0.8187,2004-08-17 00:00:00+00:00,0.8308199999999999,sl,-121.19999999999908,-1.0,-1.0,closed
13,NZDCHF,3D,bullish,2004-08-05 00:00:00+00:00,2004-08-08 00:00:00+00:00,0.82129,0.83848,0.812695,0.82129,0.81556,2004-08-17 00:00:00+00:00,0.83848,tp,171.90000000000038,2.0,2.0,closed
14,NZDCHF,3D,bullish,2004-08-14 00:00:00+00:00,2004-08-23 00:00:00+00:00,0.82525,0.83257,0.82159,0.82525,0.82281,2004-08-26 00:00:00+00:00,0.83257,tp,73.19999999999993,2.0,2.0,closed
15,NZDCHF,3D,bullish,2004-08-23 00:00:00+00:00,2004-08-26 00:00:00+00:00,0.84012,0.8870699999999998,0.8166450000000001,0.84012,0.82447,2004-11-06 00:00:00+00:00,0.8166450000000001,sl,-234.74999999999912,-1.0,-1.0,closed
17,NZDCHF,3D,bullish,2004-09-01 00:00:00+00:00,2004-09-04 00:00:00+00:00,0.8261,0.8497099999999997,0.814295,0.8261,0.81823,2004-10-04 00:00:00+00:00,0.8497099999999997,tp,236.09999999999798,1.9999999999999907,1.9999999999999907,closed
18,NZDCHF,3D,bearish,2004-09-04 00:00:00+00:00,2004-09-07 00:00:00+00:00,0.82126,0.8085399999999999,0.82762,0.8255,0.82126,2004-09-13 00:00:00+00:00,0.82762,sl,-63.60000000000032,-1.0,-1.0,closed
16,NZDCHF,3D,bearish,2004-08-29 00:00:00+00:00,2004-09-13 00:00:00+00:00,0.83264,0.8174600000000002,0.84023,0.8377,0.83264,2004-09-19 00:00:00+00:00,0.84023,sl,-75.89999999999986,-1.0,-1.0,closed
